size,energy,energy_per_byte
1,402.41014703999997,402.41014703999997
2,403.47290544,201.73645272
3,403.47290544,134.49096848
4,403.47290544,100.86822636
5,404.53566384,80.907132768
6,404.53566384,67.42261064
7,404.53566384,57.79080912
8,404.53566384,50.56695798
9,405.59842224,45.06649136
10,405.59842224,40.559842224
11,405.59842224,36.87258384
12,406.66118063999994,33.88843171999999
13,406.66118063999994,31.281629279999997
14,406.66118063999994,29.047227188571423
15,406.66118063999994,27.110745375999997
16,407.72393903999995,25.482746189999997
17,407.72393903999995,23.983761119999997
18,407.72393903999995,22.651329946666664
19,408.78669743999995,21.515089338947366
20,408.78669743999995,20.439334871999996
21,408.78669743999995,19.46603321142857
22,408.78669743999995,18.58121352
23,409.84945583999996,17.81954155826087
24,409.84945583999996,17.077060659999997
25,409.84945583999996,16.3939782336
26,410.91221423999997,15.804315932307691
27,410.91221423999997,15.218970897777776
28,410.91221423999997,14.675436222857142
29,410.91221423999997,14.169386697931033
30,411.97497264,13.732499087999999
31,411.97497264,13.289515246451613
32,411.97497264,12.874217895
33,413.03773104,12.51629488
34,413.03773104,12.14816856
35,413.03773104,11.801078029714285
36,413.03773104,11.473270306666667
37,414.10048944,11.19190512
38,414.10048944,10.897381301052631
39,414.10048944,10.617961267692307
40,415.16324783999994,10.379081195999998
41,415.16324783999994,10.12593287414634
42,415.16324783999994,9.884839234285712
43,415.16324783999994,9.654959252093022
44,416.22600623999995,9.45968196
45,416.22600623999995,9.249466805333332
46,416.22600623999995,9.04839144
47,417.28876463999995,8.878484354042552
48,417.28876463999995,8.693515929999998
49,417.28876463999995,8.516097237551019
50,417.28876463999995,8.345775292799999
51,418.35152303999996,8.20297104
52,418.35152303999996,8.045221596923076
53,418.35152303999996,7.893424963018867
54,419.41428143999997,7.766931137777777
55,419.41428143999997,7.625714208
56,419.41428143999997,7.48954074
57,419.41428143999997,7.358145288421052
58,420.47703984,7.249604135172413
59,420.47703984,7.126729488813559
60,420.47703984,7.007950664
61,421.53979824,6.910488495737704
62,421.53979824,6.7990290038709675
