size,energy,energy_per_byte
212,467.23840943999994,2.2039547615094337
213,467.23840943999994,2.193607556056338
214,467.23840943999994,2.183357053457944
215,468.30116783999995,2.178144966697674
216,468.30116783999995,2.168060962222222
217,468.30116783999995,2.158069897880184
218,468.30116783999995,2.1481704946788986
219,469.36392623999996,2.143214275068493
220,469.36392623999996,2.133472392
221,469.36392623999996,2.1238186707692304
222,470.42668463999996,2.1190391199999996
223,470.42668463999996,2.1095367024215244
224,470.42668463999996,2.1001191278571425
225,470.42668463999996,2.0907852650666663
226,471.48944303999997,2.0862364736283183
227,471.48944303999997,2.0770460045814976
228,471.48944303999997,2.0679361536842102
229,472.55220144,2.063546731179039
230,472.55220144,2.054574788869565
231,472.55220144,2.045680525714286
232,472.55220144,2.0368629372413793
233,473.61495984,2.032682231072961
234,473.61495984,2.023995554871795
235,473.61495984,2.0153828078297873
236,474.67771824,2.0113462637288135
237,474.67771824,2.0028595706329115
238,474.67771824,1.9944441942857143
239,474.67771824,1.986099239497908
240,475.74047664,1.982251986
241,475.74047664,1.9740268740248963
242,475.74047664,1.9658697381818182
243,476.80323503999995,1.9621532306172838
244,476.80323503999995,1.9541116190163932
245,476.80323503999995,1.9461356532244896
246,476.80323503999995,1.9382245326829266
247,477.86599343999995,1.9346801353846153
