,TX_COLLISION_TIMER_NOMINAL,MEASURE_INTERVAL_S,hops,pdr,plr,aggregation_efficiency,energy
0,1,1800,0,0.1702127659574468,0.8297872340425532,0.0,152814.35431388265
1,1,1800,0,0.8936170212765957,0.10638297872340426,0.9591836734693877,152302.356409951
2,1,1800,0,1.0,0.0,0.30612244897959184,160521.56967540318
3,1,1800,0,1.0,0.0,0.8367346938775511,160572.84750699447
4,1,1800,0,1.0,0.0,0.9795918367346939,161452.48233275293
5,1,1800,0,1.0,0.0,0.9591836734693877,161387.6776858714
6,1,1800,1,0.9148936170212766,0.0851063829787234,0.0,146493.7613959473
7,1,1800,1,0.3191489361702128,0.6808510638297872,0.0,152749.13350447445
8,1,1800,1,0.8723404255319149,0.1276595744680851,0.0,152728.4722423913
9,1,1800,1,1.0,0.0,0.0,152893.31620451584
10,1,1800,1,0.7446808510638298,0.2553191489361702,0.0,152778.49928916423
11,1,1800,1,1.0,0.0,0.0,153051.2578039699
12,1,1800,1,1.0,0.0,0.0,157393.63065090543
13,1,1800,3,0.0,0.0,0.0,143659.01852763523
14,1,1800,4,0.0,0.0,0.0,144924.563992624
15,1,1800,4,0.0,0.0,0.0,145071.98786558147
16,11,1800,0,1.0,0.0,0.9591836734693877,153341.18398956573
17,11,1800,0,1.0,0.0,0.9591836734693877,153793.17876376954
18,11,1800,0,1.0,0.0,0.8958333333333334,160351.74132199725
19,11,1800,0,0.7872340425531915,0.2127659574468085,0.9591836734693877,161568.547899599
20,11,1800,0,0.9361702127659575,0.06382978723404255,0.9814814814814815,164093.40287034147
21,11,1800,0,1.0,0.0,0.9607843137254902,162184.00435571108
22,11,1800,1,1.0,0.0,0.0,146083.77463777614
23,11,1800,1,1.0,0.0,0.0,146014.7711057015
24,11,1800,1,0.9148936170212766,0.0851063829787234,0.0,153495.04998412603
25,11,1800,1,0.7872340425531915,0.2127659574468085,0.0,152812.98634838287
26,11,1800,1,0.8936170212765957,0.10638297872340426,0.0,153011.92696357766
27,11,1800,1,1.0,0.0,0.0,153433.59404438353
28,11,1800,1,0.9787234042553191,0.02127659574468085,0.44897959183673475,156342.25250672825
29,11,1800,1,1.0,0.0,0.9183673469387755,154252.74768060987
30,11,1800,2,0.44680851063829785,0.5531914893617021,0.0,145654.9470314519
31,11,1800,2,0.9574468085106383,0.0425531914893617,0.0,145760.00451453828
32,21,1800,0,0.6808510638297872,0.1702127659574468,0.9591836734693877,154183.73590818146
33,21,1800,0,1.0,0.0,0.9591836734693877,152837.2531235567
34,21,1800,0,1.0,0.0,0.9591836734693877,160524.72164913538
35,21,1800,0,1.0,0.0,0.94,162213.29989556593
36,21,1800,0,1.0,0.0,0.9811320754716981,163401.78899365707
37,21,1800,0,1.0,0.0,0.0,161222.82514722153
38,21,1800,1,0.6595744680851063,0.19148936170212766,0.0,145662.4098027339
39,21,1800,1,1.0,0.0,0.0,146392.05586141488
40,21,1800,1,1.0,0.0,0.0,153489.53206653983
41,21,1800,1,0.9787234042553191,0.02127659574468085,0.9795918367346939,155167.97675795606
42,21,1800,1,1.0,0.0,0.0,153930.3216632183
43,21,1800,1,1.0,0.0,0.9591836734693877,154427.17698902317
44,21,1800,2,0.9787234042553191,0.02127659574468085,0.8775510204081632,152889.29776937037
45,21,1800,2,0.9787234042553191,0.0,0.0,145615.64816981304
46,21,1800,2,0.9787234042553191,0.02127659574468085,0.0,152567.52768104675
47,21,1800,3,0.8936170212765957,0.10638297872340426,0.0,145632.24198424674
48,31,1800,0,1.0,0.0,0.9591836734693877,154095.8901241185
49,31,1800,0,0.5957446808510638,0.40425531914893614,0.7551020408163265,155687.32363566794
50,31,1800,0,1.0,0.0,0.94,162258.959314426
51,31,1800,0,1.0,0.0,0.8775510204081632,160119.74121423284
52,31,1800,0,1.0,0.0,0.96,160636.54411913516
53,31,1800,0,1.0,0.0,0.9591836734693877,160010.41164378508
54,31,1800,1,1.0,0.0,0.0,146551.94935958015
55,31,1800,1,0.5106382978723404,0.48936170212765956,0.0,146919.57006796252
56,31,1800,1,0.9787234042553191,0.02127659574468085,0.6122448979591837,152175.2552921097
57,31,1800,1,0.9148936170212766,0.0851063829787234,0.0,153658.62688483976
58,31,1800,1,0.9787234042553191,0.02127659574468085,0.9591836734693877,153777.83798965748
59,31,1800,1,1.0,0.0,0.9591836734693877,152614.8700903659
60,31,1800,1,0.5531914893617021,0.44680851063829785,0.0,153309.7173119569
61,31,1800,2,0.6170212765957447,0.40425531914893614,0.0,153781.6629088528
62,31,1800,2,1.0,0.0,0.0,146051.77586856237
