,TX_AGGREGATION_TIMER_NOMINAL,MEASURE_INTERVAL_S,hops,pdr,plr,aggregation_efficiency,energy
0,120,120,0,0.5714285714285714,0.42857142857142855,0.9375,20573.049598357375
1,120,120,0,0.6,0.4,0.9375,20345.009769311277
2,120,120,0,1.0,0.0,0.9444444444444444,19988.378337256214
3,120,120,0,1.0,0.0,0.09677419354838712,21677.479538902357
4,120,120,0,1.0,0.0,0.9411764705882353,19307.961455644232
5,120,120,0,0.4666666666666667,0.5333333333333333,0.9375,18654.685878574932
6,120,120,0,1.0,0.0,0.9375,19084.081163477502
7,120,120,0,1.0,0.0,0.9411764705882353,20099.592486168196
8,120,120,0,1.0,0.0,0.9411764705882353,18521.99379122246
9,120,120,1,0.6,0.4,0.0,15746.43590544753
10,120,120,1,0.5862068965517241,0.41379310344827586,0.0,18986.623030906703
11,120,120,1,0.6206896551724138,0.3448275862068966,0.0,19747.181181900785
12,120,120,1,0.6,0.4,0.0,16110.192575861382
13,120,120,1,1.0,0.0,0.0,15268.949829967161
14,120,120,1,0.14285714285714285,0.42857142857142855,0.9375,20354.937915184928
15,120,120,1,1.0,0.0,0.9375,19158.25323422528
16,120,120,1,0.42857142857142855,0.5714285714285714,0.0,15099.652356499431
17,120,120,1,0.8,0.2,0.0,16563.19152638531
18,120,120,1,0.4666666666666667,0.5333333333333333,0.0,15248.44336788636
19,120,120,1,0.9655172413793104,0.034482758620689655,0.4838709677419355,18759.853577439782
20,120,120,1,1.0,0.0,0.0,20609.48254886123
21,120,120,1,1.0,0.0,0.0,18901.431258423177
22,120,120,1,0.4666666666666667,0.5333333333333333,0.0,15619.73333792271
23,120,120,1,1.0,0.0,0.0,17756.24304700646
24,120,120,1,1.0,0.0,0.8823529411764706,18301.581591690025
25,120,120,1,0.9333333333333333,0.06666666666666667,0.9375,18927.602058033473
26,120,120,1,0.9285714285714286,0.07142857142857142,0.9375,15302.219092723382
27,120,120,1,1.0,0.0,0.0,14819.26085535901
28,120,120,1,1.0,0.0,0.0,14417.138662697955
29,120,120,2,0.2,0.4,0.0,13095.532277087468
30,120,120,2,0.9523809523809523,0.047619047619047616,0.0,14475.99655574916
31,120,120,2,1.0,0.0,0.0,15931.938981885685
32,120,120,2,0.9310344827586207,0.06896551724137931,0.0,18233.321811089285
33,120,120,2,0.9333333333333333,0.06666666666666667,0.0,13446.392679222707
34,120,120,2,1.0,0.0,0.0,15702.340950226571
35,120,120,2,0.9333333333333333,0.06666666666666667,0.0,14017.778742201162
36,120,420,0,0.875,0.125,0.8888888888888888,14251.025646103924
37,120,420,0,1.0,0.0,0.8888888888888888,13420.641911014636
38,120,420,0,1.0,0.0,0.9411764705882353,16432.916157686992
39,120,420,0,1.0,0.0,0.47058823529411764,16626.94151631953
40,120,420,0,1.0,0.0,0.9,14814.047516109069
41,120,420,0,0.625,0.375,0.9230769230769231,14987.70160551864
42,120,420,0,1.0,0.0,0.5,16750.57181897192
43,120,420,0,1.0,0.0,0.9411764705882353,16879.322041927255
44,120,420,0,1.0,0.0,0.9411764705882353,16559.22182737208
45,120,420,1,0.875,0.125,0.0,11726.157004845545
46,120,420,1,0.875,0.125,0.0,11722.263173833599
47,120,420,1,1.0,0.0,0.0,11685.04364063726
48,120,420,1,1.0,0.0,0.0,11423.782429396339
49,120,420,1,0.875,0.125,0.0,11977.871982919603
50,120,420,1,1.0,0.0,0.8888888888888888,14056.9197260127
51,120,420,1,1.0,0.0,0.8888888888888888,13244.006391737083
52,120,420,1,1.0,0.0,0.0,11895.665229937224
53,120,420,1,1.0,0.0,0.0,12433.97147815168
54,120,420,1,0.625,0.375,0.0,11928.764353266066
55,120,420,1,1.0,0.0,0.47058823529411764,13700.654467796285
56,120,420,1,1.0,0.0,0.0,15675.36892713397
57,120,420,1,1.0,0.0,0.0,14352.585766321097
58,120,420,1,0.625,0.375,0.0,11693.408373810364
59,120,420,1,1.0,0.0,0.0,14135.268165582174
60,120,420,1,1.0,0.0,0.47058823529411764,16207.444415066828
61,120,420,1,0.875,0.125,0.8888888888888888,14214.704170394734
62,120,420,1,1.0,0.0,0.5,13415.133320537443
63,120,420,1,1.0,0.0,0.0,12549.690099549429
64,120,420,1,1.0,0.0,0.0,12577.630880780913
65,120,420,2,1.0,0.0,0.0,10229.877980343737
66,120,420,2,1.0,0.0,0.0,10623.484396978372
67,120,420,2,1.0,0.0,0.0,11972.733400605764
68,120,420,2,0.875,0.125,0.0,11300.525867883816
69,120,420,2,1.0,0.0,0.0,10763.436474455262
70,120,420,2,1.0,0.0,0.0,11860.94683565088
71,120,420,2,0.875,0.125,0.0,10418.279921678728
72,420,120,0,0.5714285714285714,0.42857142857142855,0.9375,20573.049598357375
73,420,120,0,0.6,0.4,0.9375,20345.009769311277
74,420,120,0,1.0,0.0,0.9444444444444444,19988.378337256214
75,420,120,0,1.0,0.0,0.09677419354838712,21677.479538902357
76,420,120,0,1.0,0.0,0.9411764705882353,19307.961455644232
77,420,120,0,0.4666666666666667,0.5333333333333333,0.9375,18654.685878574932
78,420,120,0,1.0,0.0,0.9375,19084.081163477502
79,420,120,0,1.0,0.0,0.9411764705882353,20099.592486168196
80,420,120,0,1.0,0.0,0.9411764705882353,18521.99379122246
81,420,120,1,0.6,0.4,0.0,15746.43590544753
82,420,120,1,0.5862068965517241,0.41379310344827586,0.0,18986.623030906703
83,420,120,1,0.6206896551724138,0.3448275862068966,0.0,19747.181181900785
84,420,120,1,0.6,0.4,0.0,16110.192575861382
85,420,120,1,1.0,0.0,0.0,15268.949829967161
86,420,120,1,0.14285714285714285,0.42857142857142855,0.9375,20354.937915184928
87,420,120,1,1.0,0.0,0.9375,19158.25323422528
88,420,120,1,0.42857142857142855,0.5714285714285714,0.0,15099.652356499431
89,420,120,1,0.8,0.2,0.0,16563.19152638531
90,420,120,1,0.4666666666666667,0.5333333333333333,0.0,15248.44336788636
91,420,120,1,0.9655172413793104,0.034482758620689655,0.4838709677419355,18759.853577439782
92,420,120,1,1.0,0.0,0.0,20609.48254886123
93,420,120,1,1.0,0.0,0.0,18901.431258423177
94,420,120,1,0.4666666666666667,0.5333333333333333,0.0,15619.73333792271
95,420,120,1,1.0,0.0,0.0,17756.24304700646
96,420,120,1,1.0,0.0,0.8823529411764706,18301.581591690025
97,420,120,1,0.9333333333333333,0.06666666666666667,0.9375,18927.602058033473
98,420,120,1,0.9285714285714286,0.07142857142857142,0.9375,15302.219092723382
99,420,120,1,1.0,0.0,0.0,14819.26085535901
100,420,120,1,1.0,0.0,0.0,14417.138662697955
101,420,120,2,0.2,0.4,0.0,13095.532277087468
102,420,120,2,0.9523809523809523,0.047619047619047616,0.0,14475.99655574916
103,420,120,2,1.0,0.0,0.0,15931.938981885685
104,420,120,2,0.9310344827586207,0.06896551724137931,0.0,18233.321811089285
105,420,120,2,0.9333333333333333,0.06666666666666667,0.0,13446.392679222707
106,420,120,2,1.0,0.0,0.0,15702.340950226571
107,420,120,2,0.9333333333333333,0.06666666666666667,0.0,14017.778742201162
108,420,420,0,0.875,0.125,0.8888888888888888,14251.025646103924
109,420,420,0,1.0,0.0,0.8888888888888888,13420.641911014636
110,420,420,0,1.0,0.0,0.9411764705882353,16432.916157686992
111,420,420,0,1.0,0.0,0.47058823529411764,16626.94151631953
112,420,420,0,1.0,0.0,0.9,14814.047516109069
113,420,420,0,0.625,0.375,0.9230769230769231,14987.70160551864
114,420,420,0,1.0,0.0,0.5,16750.57181897192
115,420,420,0,1.0,0.0,0.9411764705882353,16879.322041927255
116,420,420,0,1.0,0.0,0.9411764705882353,16559.22182737208
117,420,420,1,0.875,0.125,0.0,11726.157004845545
118,420,420,1,0.875,0.125,0.0,11722.263173833599
119,420,420,1,1.0,0.0,0.0,11685.04364063726
120,420,420,1,1.0,0.0,0.0,11423.782429396339
121,420,420,1,0.875,0.125,0.0,11977.871982919603
122,420,420,1,1.0,0.0,0.8888888888888888,14056.9197260127
123,420,420,1,1.0,0.0,0.8888888888888888,13244.006391737083
124,420,420,1,1.0,0.0,0.0,11895.665229937224
125,420,420,1,1.0,0.0,0.0,12433.97147815168
126,420,420,1,0.625,0.375,0.0,11928.764353266066
127,420,420,1,1.0,0.0,0.47058823529411764,13700.654467796285
128,420,420,1,1.0,0.0,0.0,15675.36892713397
129,420,420,1,1.0,0.0,0.0,14352.585766321097
130,420,420,1,0.625,0.375,0.0,11693.408373810364
131,420,420,1,1.0,0.0,0.0,14135.268165582174
132,420,420,1,1.0,0.0,0.47058823529411764,16207.444415066828
133,420,420,1,0.875,0.125,0.8888888888888888,14214.704170394734
134,420,420,1,1.0,0.0,0.5,13415.133320537443
135,420,420,1,1.0,0.0,0.0,12549.690099549429
136,420,420,1,1.0,0.0,0.0,12577.630880780913
137,420,420,2,1.0,0.0,0.0,10229.877980343737
138,420,420,2,1.0,0.0,0.0,10623.484396978372
139,420,420,2,1.0,0.0,0.0,11972.733400605764
140,420,420,2,0.875,0.125,0.0,11300.525867883816
141,420,420,2,1.0,0.0,0.0,10763.436474455262
142,420,420,2,1.0,0.0,0.0,11860.94683565088
143,420,420,2,0.875,0.125,0.0,10418.279921678728
