,TX_AGGREGATION_TIMER_NOMINAL,size,hops,pdr,plr,aggregation_efficiency,energy
0,60,1,0,0.0,0.0,0.0,22687.566544146284
1,60,1,0,0.0,0.0,0.0,25169.835966731047
2,60,1,0,0.0,0.0,0.0,24830.599908860087
3,60,1,0,0.0,0.0,0.0,25188.249221523325
4,60,1,0,0.0,0.0,0.0,24286.10562266327
5,60,1,0,0.0,0.0,0.0,23700.262085603707
6,60,1,0,0.0,0.0,0.0,22220.262447579767
7,60,1,0,0.0,0.0,0.0,23745.486518354373
8,60,1,0,0.0,0.0,0.0,22423.74893983707
9,60,2,0,0.0,0.0,0.0,24389.453194490707
10,60,2,0,0.0,0.0,0.0,24311.91252432985
11,60,2,0,0.0,0.0,0.0,23514.89082650331
12,60,2,0,0.0,0.0,0.0,22923.486988286648
13,60,2,0,0.0,0.0,0.0,23686.654080063858
14,60,2,0,0.0,0.0,0.0,24298.459593071322
15,60,2,0,0.0,0.0,0.0,24183.035238779165
16,60,2,0,0.0,0.0,0.0,22502.806980035606
17,60,2,0,0.0,0.0,0.0,23032.682655364482
18,60,3,0,0.0,0.0,0.0,20338.704284201445
19,60,3,0,0.0,0.0,0.0,20636.625013034725
20,60,3,0,0.0,0.0,0.0,23625.959028582445
21,60,3,0,0.0,0.0,0.0,21344.158707020306
22,60,3,0,0.0,0.0,0.0,19846.229914043553
23,60,3,0,0.0,0.0,0.0,21991.548579339993
24,60,3,0,0.0,0.0,0.0,20335.491694882774
25,60,3,0,0.0,0.0,0.0,21007.16765396904
26,60,3,0,0.0,0.0,0.0,19815.865447178723
27,60,4,0,0.8181818181818182,0.0,0.0,24997.355539565335
28,60,4,0,1.0,0.0,0.8947368421052632,25460.825925155208
29,60,4,0,0.8,0.0,0.7894736842105263,26964.24887105226
30,60,4,0,0.9,0.0,0.0,22660.095315528823
31,60,4,0,0.9,0.0,0.8181818181818181,24201.39278226438
32,60,4,0,0.8181818181818182,0.0,0.0,23830.579809650313
33,60,4,0,0.8181818181818182,0.0,0.7777777777777778,28226.611333569286
34,60,4,0,0.9,0.0,0.0,22940.641478009515
35,60,4,0,0.8181818181818182,0.0,0.8333333333333334,26754.6798224356
36,60,5,0,1.0,0.0,0.8823529411764706,27445.71041915332
37,60,5,0,0.0,0.0,0.0,23164.2103410797
38,60,5,0,1.0,0.0,0.7272727272727273,26089.43083153585
39,60,5,0,0.8181818181818182,0.0,0.8260869565217391,28309.026135498687
40,60,5,0,0.8181818181818182,0.0,0.76,28826.603065222684
41,60,5,0,0.9090909090909091,0.0,0.4545454545454546,26823.614810727857
42,60,5,0,0.9090909090909091,0.0,0.0,24318.45287526933
43,60,5,0,0.9090909090909091,0.0,0.0,24358.630063454973
44,60,5,0,0.0,0.0,0.0,23063.758033057475
45,60,6,0,1.0,0.0,0.5,22685.079885411833
46,60,6,0,1.0,0.0,0.0,21208.39069530259
47,60,6,0,0.0,0.0,0.0,21528.32221658904
48,60,6,0,0.0,0.0,0.0,21573.746048588895
49,60,6,0,0.0,0.0,0.0,22911.1349618824
50,60,6,0,0.0,0.0,0.0,21220.032444260145
51,60,6,0,0.0,0.0,0.0,21892.148427987922
