,TX_AGGREGATION_TIMER_STEP_UP,MEASURE_INTERVAL_S,hops,pdr,plr,aggregation_efficiency,energy
0,30,1800,0,0.5052631578947369,0.3263157894736842,0.7604166666666666,302838.0535284372
1,30,1800,0,0.8210526315789474,0.08421052631578947,0.9484536082474226,301295.2038500145
2,30,1800,0,1.0,0.0,0.9791666666666666,310960.4398264308
3,30,1800,0,1.0,0.0,0.979381443298969,315456.182311162
4,30,1800,0,1.0,0.0,0.9896907216494846,316697.666629185
5,30,1800,0,0.8631578947368421,0.1368421052631579,0.9896907216494846,319159.68086852285
6,30,1800,1,0.3263157894736842,0.5263157894736842,0.0,286691.0744606055
7,30,1800,1,0.7894736842105263,0.11578947368421053,0.0,284615.12640147144
8,30,1800,1,0.9894736842105263,0.010526315789473684,0.0,297830.8002689775
9,30,1800,1,1.0,0.0,0.0,297102.7707278936
10,30,1800,1,1.0,0.0,0.0,299911.5391566372
11,30,1800,1,0.8526315789473684,0.14736842105263157,0.0,299614.25201109634
12,30,1800,1,1.0,0.0,0.979381443298969,301759.2094188811
13,30,1800,1,0.8631578947368421,0.1368421052631579,0.979381443298969,300563.596318215
14,30,1800,2,1.0,0.0,0.0,284884.9094378993
15,30,1800,3,0.8631578947368421,0.1368421052631579,0.0,285279.299147534
16,60,1800,0,0.9894736842105263,0.0,0.71875,307963.5410341172
17,60,1800,0,0.22105263157894736,0.5789473684210527,0.6354166666666667,304454.14819758077
18,60,1800,0,1.0,0.0,0.979381443298969,316077.8520662117
19,60,1800,0,1.0,0.0,0.979381443298969,321546.32326845574
20,60,1800,0,1.0,0.0,0.9896907216494846,320322.1362151205
21,60,1800,0,1.0,0.0,0.9896907216494846,317980.3815224479
22,60,1800,1,0.7263157894736842,0.2736842105263158,0.0,285886.1718632999
23,60,1800,1,0.14736842105263157,0.7578947368421053,0.0,285915.32121064136
24,60,1800,1,1.0,0.0,0.0,296425.662143057
25,60,1800,1,1.0,0.0,0.0,297338.54742552724
26,60,1800,1,1.0,0.0,0.0,300711.75959558884
27,60,1800,1,0.9894736842105263,0.010526315789473684,0.0,300577.6285545985
28,60,1800,1,1.0,0.0,0.979381443298969,302266.72798332624
29,60,1800,1,1.0,0.0,0.979381443298969,302507.0970631042
30,60,1800,2,1.0,0.0,0.0,286627.67525261245
31,60,1800,3,1.0,0.0,0.0,286783.7140664038
32,90,1800,0,0.6105263157894737,0.28421052631578947,0.6458333333333333,303298.9055039362
33,90,1800,0,0.9894736842105263,0.0,0.8229166666666666,303663.1567712253
34,90,1800,0,0.8736842105263158,0.12631578947368421,0.9895833333333334,314831.6462544732
35,90,1800,0,1.0,0.0,0.979381443298969,318389.13038596895
36,90,1800,0,1.0,0.0,0.9896907216494846,318195.32171839714
37,90,1800,0,1.0,0.0,0.9896907216494846,319852.25398900063
38,90,1800,1,0.5368421052631579,0.45263157894736844,0.0,290732.4299758954
39,90,1800,1,0.8315789473684211,0.15789473684210525,0.0,287220.4481861691
40,90,1800,1,0.8736842105263158,0.12631578947368421,0.0,296722.90099655546
41,90,1800,1,1.0,0.0,0.0,299243.3854439283
42,90,1800,1,1.0,0.0,0.0,302029.34592967347
43,90,1800,1,0.9894736842105263,0.010526315789473684,0.0,301511.0595804856
44,90,1800,1,1.0,0.0,0.979381443298969,303818.68083667784
45,90,1800,1,1.0,0.0,0.979381443298969,303189.65950395423
46,90,1800,2,1.0,0.0,0.0,287584.18159578973
47,90,1800,3,1.0,0.0,0.0,287328.90331848036
48,120,1800,0,0.5368421052631579,0.37894736842105264,0.7916666666666666,307764.20236125705
49,120,1800,0,0.6,0.24210526315789474,0.5833333333333333,308570.90059306845
50,120,1800,0,0.6,0.4,0.96875,315713.24244056636
51,120,1800,0,1.0,0.0,0.979381443298969,315466.7619148078
52,120,1800,0,1.0,0.0,0.9896907216494846,316426.5780344136
53,120,1800,0,0.6,0.4,0.9896907216494846,320432.3824096768
54,120,1800,1,0.45263157894736844,0.4631578947368421,0.0,292756.1496605968
55,120,1800,1,0.30526315789473685,0.5894736842105263,0.0,288744.5396992567
56,120,1800,1,0.5789473684210527,0.42105263157894735,0.0,303084.52956318704
57,120,1800,1,1.0,0.0,0.0,300157.70274223463
58,120,1800,1,0.9789473684210527,0.021052631578947368,0.0,303885.0020140017
59,120,1800,1,0.5894736842105263,0.4105263157894737,0.0,303860.8131689907
60,120,1800,1,1.0,0.0,0.979381443298969,304868.15765735955
61,120,1800,1,0.6,0.4,0.979381443298969,305211.5330088884
62,120,1800,2,1.0,0.0,0.0,288856.5301536943
63,120,1800,3,0.6,0.4,0.0,288939.13619798556
64,150,1800,0,1.0,0.0,0.8645833333333334,306036.80568531895
65,150,1800,0,1.0,0.0,0.75,306819.7640259388
66,150,1800,0,0.8526315789473684,0.14736842105263157,0.9895833333333334,322563.57062609773
67,150,1800,0,0.9655172413793104,0.034482758620689655,0.9791666666666666,320428.6973506858
68,150,1800,0,0.968421052631579,0.031578947368421054,0.9895833333333334,317680.0041691291
69,150,1800,0,0.9176470588235294,0.08235294117647059,0.9894736842105263,318102.5872174002
70,150,1800,1,0.8736842105263158,0.12631578947368421,0.0,289751.0753319369
71,150,1800,1,0.7578947368421053,0.24210526315789474,0.0,290112.58001494926
72,150,1800,1,0.8526315789473684,0.14736842105263157,0.0,303729.32402006455
73,150,1800,1,0.9578947368421052,0.042105263157894736,0.0,299639.8879220463
74,150,1800,1,0.968421052631579,0.031578947368421054,0.0,304846.2660218595
75,150,1800,1,0.9052631578947369,0.09473684210526316,0.0,304687.81807064597
76,150,1800,1,0.7888888888888889,0.2111111111111111,0.9787234042553191,304621.53665814974
77,150,1800,1,0.8160919540229885,0.1839080459770115,0.9791666666666666,303024.81612288393
78,150,1800,2,0.8,0.2,0.0,290047.5746023728
79,150,1800,3,0.8105263157894737,0.18947368421052632,0.0,292523.1358787436
80,180,1800,0,0.7333333333333333,0.2,0.7540983606557377,286571.3314487409
81,180,1800,0,0.921875,0.078125,0.36923076923076925,288886.33910617797
82,180,1800,0,1.0,0.0,0.9848484848484849,295606.1775241742
83,180,1800,0,1.0,0.0,0.9701492537313433,295753.2686538151
84,180,1800,0,1.0,0.0,0.9850746268656716,297739.0810620395
85,180,1800,0,0.9538461538461539,0.046153846153846156,0.9850746268656716,297320.202708195
86,180,1800,1,0.5789473684210527,0.37894736842105264,0.0,285960.1103533149
87,180,1800,1,0.23157894736842105,0.7684210526315789,0.0,287307.8214078305
88,180,1800,1,1.0,0.0,0.0,296987.96752613405
89,180,1800,1,1.0,0.0,0.0,294236.744192281
90,180,1800,1,0.9894736842105263,0.0,0.0,301761.9143180406
91,180,1800,1,0.9263157894736842,0.07368421052631578,0.0,300981.0270485565
92,180,1800,1,1.0,0.0,0.9701492537313433,286693.6327395369
93,180,1800,1,0.9538461538461539,0.046153846153846156,0.9701492537313433,286750.64796849363
94,180,1800,2,1.0,0.0,0.0,287196.2358523574
95,180,1800,3,0.9368421052631579,0.06315789473684211,0.0,287811.13403912145
96,210,1800,0,0.9538461538461539,0.03076923076923077,0.9696969696969697,286921.18798014004
97,210,1800,0,0.96875,0.015625,0.3484848484848485,292750.0617003945
98,210,1800,0,0.9076923076923077,0.1076923076923077,0.9696969696969697,300318.6804793545
99,210,1800,0,1.0,0.0,0.9701492537313433,297726.9862246416
100,210,1800,0,1.0,0.0,0.9848484848484849,298669.8994539108
101,210,1800,0,0.9384615384615385,0.06153846153846154,0.9850746268656716,299364.5911524185
102,210,1800,1,0.9578947368421052,0.031578947368421054,0.0,288164.15536985034
103,210,1800,1,0.30526315789473685,0.6947368421052632,0.0,288153.37684354524
104,210,1800,1,0.9263157894736842,0.08421052631578947,0.0,302653.8614320504
105,210,1800,1,1.0,0.0,0.0,297424.69405312586
106,210,1800,1,1.0,0.0,0.0,303275.18960935785
107,210,1800,1,0.9263157894736842,0.07368421052631578,0.0,303389.8325955688
108,210,1800,1,1.0,0.0,0.9701492537313433,287808.5529236405
109,210,1800,1,0.9384615384615385,0.06153846153846154,0.9701492537313433,288022.13223071076
110,210,1800,2,1.0,0.0,0.0,288465.56610038946
111,210,1800,3,0.9368421052631579,0.06315789473684211,0.0,288156.8535969334
112,240,1800,0,0.953125,0.03125,0.9846153846153847,287852.79718095984
113,240,1800,0,0.9701492537313433,0.0,0.8676470588235294,290052.00891480886
114,240,1800,0,1.0,0.0,0.9848484848484849,299723.757778535
115,240,1800,0,1.0,0.0,0.9696969696969697,299185.83410587657
116,240,1800,0,1.0,0.0,0.9846153846153847,299087.0680385111
117,240,1800,0,0.984375,0.0,0.9848484848484849,301484.7705385115
118,240,1800,1,0.9578947368421052,0.031578947368421054,0.0,289252.0048426553
119,240,1800,1,0.8842105263157894,0.09473684210526316,0.0,289084.4052487277
120,240,1800,1,1.0,0.0,0.0,303827.69182291895
121,240,1800,1,1.0,0.0,0.0,303596.1045291552
122,240,1800,1,1.0,0.0,0.0,304686.50971109816
123,240,1800,1,0.9789473684210527,0.010526315789473684,0.0,304510.3051033172
124,240,1800,1,1.0,0.0,0.9696969696969697,288705.0485202839
125,240,1800,1,0.9846153846153847,0.0,0.9696969696969697,288565.725540819
126,240,1800,2,1.0,0.0,0.0,289679.9086918521
127,240,1800,3,0.9894736842105263,0.0,0.0,290288.4996242898
128,270,1800,0,0.9516129032258065,0.04838709677419355,0.873015873015873,290502.4099674671
129,270,1800,0,0.9076923076923077,0.03076923076923077,0.2272727272727273,295331.1868626196
130,270,1800,0,1.0,0.0,0.9848484848484849,299237.2122080648
131,270,1800,0,1.0,0.0,0.9696969696969697,299910.7599525277
132,270,1800,0,1.0,0.0,0.9846153846153847,300141.31933820026
133,270,1800,0,0.984375,0.015625,0.9848484848484849,299814.4764145911
134,270,1800,1,0.8421052631578947,0.15789473684210525,0.0,290515.73942997854
135,270,1800,1,0.18947368421052632,0.8210526315789474,0.0,290932.9455436942
136,270,1800,1,0.9894736842105263,0.0,0.0,305343.62999638525
137,270,1800,1,1.0,0.0,0.0,298941.46917228814
138,270,1800,1,1.0,0.0,0.0,305300.2266319872
139,270,1800,1,0.968421052631579,0.031578947368421054,0.0,306234.59875335876
140,270,1800,1,1.0,0.0,0.9696969696969697,290386.6263694533
141,270,1800,1,0.8307692307692308,0.16923076923076924,0.9696969696969697,290342.44029780955
142,270,1800,2,1.0,0.0,0.0,291314.94170407887
143,270,1800,3,0.8842105263157894,0.11578947368421053,0.0,291805.0300282203
144,300,1800,0,0.78,0.22,0.9411764705882353,281993.3831169516
145,300,1800,0,0.9814814814814815,0.037037037037037035,0.7090909090909091,286461.18138914043
146,300,1800,0,0.98,0.02,0.9803921568627451,288817.9394397598
147,300,1800,0,1.0,0.0,0.9615384615384616,289455.0494542588
148,300,1800,0,1.0,0.0,0.9811320754716981,291328.47751523677
149,300,1800,0,0.9795918367346939,0.02040816326530612,0.9803921568627451,290935.0292445614
150,300,1800,1,0.7263157894736842,0.28421052631578947,0.0,290485.17551275704
151,300,1800,1,0.5052631578947369,0.5052631578947369,0.0,291258.26179464103
152,300,1800,1,0.9263157894736842,0.07368421052631578,0.0,301518.06623155624
153,300,1800,1,1.0,0.0,0.0,303000.25419207406
154,300,1800,1,0.8526315789473684,0.14736842105263157,0.0,305189.1720756751
155,300,1800,1,0.7578947368421053,0.24210526315789474,0.0,305614.7632007049
156,300,1800,1,1.0,0.0,0.9615384615384616,281492.6481878854
157,300,1800,1,0.98,0.02,0.9615384615384616,281506.4655904261
158,300,1800,2,1.0,0.0,0.0,290777.1792424626
159,300,1800,3,0.9789473684210527,0.021052631578947368,0.0,290001.1926855756
160,330,1800,0,0.6530612244897959,0.3469387755102041,0.92,282809.4962019467
161,330,1800,0,0.9830508474576272,0.01694915254237288,0.23333333333333328,291799.09962785227
162,330,1800,0,1.0,0.0,0.98,290774.12106907374
163,330,1800,0,1.0,0.0,0.9607843137254902,290392.8444913638
