,TX_AGGREGATION_TIMER_NOMINAL,MEASURE_INTERVAL_S,hops,pdr,plr,aggregation_efficiency,energy
0,300,1800,0,0.29473684210526313,0.6947368421052632,0.6354166666666667,301701.54611905006
1,300,1800,0,1.0,0.0,0.4973821989528796,347232.7574848402
2,300,1800,0,1.0,0.0,0.6666666666666667,336882.06541875185
3,300,1800,0,1.0,0.0,0.4973821989528796,375107.3210882584
4,300,1800,0,1.0,0.0,0.9947643979057592,376786.64309386566
5,300,1800,0,1.0,0.0,0.9947643979057592,389009.1939336925
6,300,1800,1,0.14736842105263157,0.8421052631578947,0.0,287888.61715442006
7,300,1800,1,1.0,0.0,0.0,293531.8478732522
8,300,1800,1,0.6736842105263158,0.3368421052631579,0.0,293445.0294370434
9,300,1800,1,1.0,0.0,0.0,307270.29265903326
10,300,1800,1,0.8526315789473684,0.14736842105263157,0.0,308330.803350996
11,300,1800,1,0.7473684210526316,0.25263157894736843,0.0,307049.2557057705
12,300,1800,1,1.0,0.0,0.4973821989528796,360278.0379516178
13,300,1800,1,1.0,0.0,0.4973821989528796,359826.65057479416
14,300,1800,2,1.0,0.0,0.0,297778.3245046444
15,300,1800,3,1.0,0.0,0.0,292713.6927248713
16,360,1800,0,0.2631578947368421,0.49473684210526314,0.9479166666666666,307725.62851482484
17,360,1800,0,1.0,0.0,0.4973821989528796,340822.83736122807
18,360,1800,0,1.0,0.0,0.9895833333333334,330742.60669236403
19,360,1800,0,0.6736842105263158,0.3263157894736842,0.4973821989528796,376001.39141503733
20,360,1800,0,1.0,0.0,0.9947643979057592,377387.74272929115
21,360,1800,0,1.0,0.0,0.9947643979057592,385555.68321537075
22,360,1800,1,0.23157894736842105,0.5368421052631579,0.0,282482.03323315165
23,360,1800,1,1.0,0.0,0.0,293515.1764966151
24,360,1800,1,1.0,0.0,0.0,294017.77271214215
25,360,1800,1,1.0,0.0,0.0,308382.76588622615
26,360,1800,1,0.9157894736842105,0.08421052631578947,0.0,308708.64217405254
27,360,1800,1,0.25263157894736843,0.7473684210526316,0.0,308374.97694754205
28,360,1800,1,1.0,0.0,0.4973821989528796,360901.45996146556
29,360,1800,1,0.9789473684210527,0.021052631578947368,0.4973821989528796,360816.51576757804
30,360,1800,2,1.0,0.0,0.0,294671.0938947981
31,360,1800,3,1.0,0.0,0.0,290566.68524058565
32,420,1800,0,0.30526315789473685,0.5578947368421052,0.9895833333333334,309547.6929358532
33,420,1800,0,1.0,0.0,0.4973821989528796,341965.4625945822
34,420,1800,0,1.0,0.0,0.9108910891089109,333935.9464028733
35,420,1800,0,0.8631578947368421,0.1368421052631579,0.4973821989528796,378906.1796276846
36,420,1800,0,0.9368421052631579,0.06315789473684211,0.9947643979057592,377787.7591709942
37,420,1800,0,1.0,0.0,0.9947643979057592,389167.114047352
38,420,1800,1,0.30526315789473685,0.5578947368421052,0.0,281374.6736259221
39,420,1800,1,1.0,0.0,0.0,294701.43478781125
40,420,1800,1,0.968421052631579,0.021052631578947368,0.0,294563.0033057031
41,420,1800,1,1.0,0.0,0.0,308526.5946166274
42,420,1800,1,0.9368421052631579,0.06315789473684211,0.0,309265.10115146515
43,420,1800,1,0.9789473684210527,0.021052631578947368,0.0,308929.81411408447
44,420,1800,1,0.9368421052631579,0.06315789473684211,0.4973821989528796,360570.7412601553
45,420,1800,1,1.0,0.0,0.4973821989528796,361182.05014262086
46,420,1800,2,1.0,0.0,0.0,295809.2212561191
47,420,1800,3,1.0,0.0,0.0,294219.75986074965
48,480,1800,0,0.8842105263157894,0.08421052631578947,0.7291666666666667,307249.1434560325
49,480,1800,0,1.0,0.0,0.4973821989528796,348424.3738069307
50,480,1800,0,1.0,0.0,0.9270833333333334,339174.1180840968
51,480,1800,0,1.0,0.0,0.4973821989528796,373995.37355941563
52,480,1800,0,1.0,0.0,0.9947643979057592,376311.2325712385
53,480,1800,0,1.0,0.0,0.9942857142857143,380787.4716361252
54,480,1800,1,0.6210526315789474,0.3473684210526316,0.0,280662.6008234374
55,480,1800,1,1.0,0.0,0.0,294865.22419405536
56,480,1800,1,0.9368421052631579,0.06315789473684211,0.0,295005.5403819183
57,480,1800,1,1.0,0.0,0.0,309993.22719332157
58,480,1800,1,1.0,0.0,0.0,309179.83055996394
59,480,1800,1,0.7368421052631579,0.2631578947368421,0.0,306352.59771022724
60,480,1800,1,1.0,0.0,0.4973821989528796,360426.26106196694
61,480,1800,1,0.9894736842105263,0.010526315789473684,0.4514285714285714,353881.70788042306
62,480,1800,2,1.0,0.0,0.0,300098.45183930156
63,480,1800,3,0.8315789473684211,0.17894736842105263,0.0,291041.2221775869
64,540,1800,0,0.6631578947368421,0.30526315789473685,0.9895833333333334,309813.2623696888
65,540,1800,0,1.0,0.0,0.4973821989528796,347170.7716181787
66,540,1800,0,1.0,0.0,0.9895833333333334,337691.5792985844
67,540,1800,0,1.0,0.0,0.4973821989528796,376403.5685624926
68,540,1800,0,1.0,0.0,0.9947643979057592,376620.2071625675
69,540,1800,0,1.0,0.0,0.9894736842105263,387196.2107673388
70,540,1800,1,0.6631578947368421,0.30526315789473685,0.0,284970.5880842551
71,540,1800,1,1.0,0.0,0.0,295165.47071506217
72,540,1800,1,1.0,0.0,0.0,294794.60108693066
73,540,1800,1,1.0,0.0,0.0,309266.6155275878
74,540,1800,1,0.8736842105263158,0.12631578947368421,0.0,309841.5376415608
75,540,1800,1,0.6421052631578947,0.35789473684210527,0.0,310186.4924462269
76,540,1800,1,1.0,0.0,0.4973821989528796,361745.204409863
77,540,1800,1,0.7578947368421053,0.24210526315789474,0.49473684210526314,362274.5598743498
78,540,1800,2,1.0,0.0,0.0,294354.0036201835
79,540,1800,3,0.9894736842105263,0.010526315789473684,0.0,290779.3338999905
80,600,1800,0,0.8631578947368421,0.010526315789473684,0.90625,306146.4540950973
81,600,1800,0,1.0,0.0,0.4973821989528796,347839.57043285604
82,600,1800,0,1.0,0.0,0.9583333333333334,338256.58975875657
83,600,1800,0,1.0,0.0,0.4973821989528796,373087.28659252165
84,600,1800,0,1.0,0.0,0.9947643979057592,375903.95928670606
85,600,1800,0,1.0,0.0,0.9939759036144579,378524.0225846184
86,600,1800,1,0.7894736842105263,0.09473684210526316,0.0,281576.8807736781
87,600,1800,1,1.0,0.0,0.0,294950.62053248263
88,600,1800,1,0.968421052631579,0.031578947368421054,0.0,295546.0629634794
