,MEASURE_PAYLOAD_SIZE_BYTE,MEASURE_INTERVAL_S,children,pdr,plr,aggregation_efficiency,energy,energy_per_byte,energy_tx_per_byte,latency
0,2,1800,0,1.0,0.0,0.0,69189.05203820826,1647.3583818621014,211.34295046865563,830.7400440000847
1,2,1800,0,1.0,0.0,0.0,69118.29798540751,1645.6737615573215,211.34295046865563,902.4736999999095
2,2,1800,0,1.0,0.0,0.0,72969.10013489424,1658.3886394294145,210.90629148008054,902.4736999990218
3,2,1800,0,1.0,0.0,0.0,80058.8137772926,1740.4089951585347,210.50760283832983,902.4736999990218
4,2,1800,0,1.0,0.0,0.0,76963.39789899426,1749.1681340680514,210.90629148008054,902.4736999990218
5,2,1800,0,1.0,0.0,0.0,61167.868257531605,1329.7362664680784,210.50760283833802,902.4736999990218
6,2,1800,0,1.0,0.0,0.0,71348.81745326844,1551.0612489840964,210.50760283832983,902.4737000011592
7,2,1800,0,0.9565217391304348,0.0,0.0,51865.64747294778,1127.5140754988647,210.50760283832983,902.4737000011592
8,2,1800,0,0.9565217391304348,0.0,0.0,45874.662596231996,997.2752738311303,210.50760283836263,902.4737000011592
9,2,1800,0,0.9545454545454546,0.0,0.0,44049.706173759434,1001.1296857672598,210.90629148008054,902.4737000011592
10,2,1800,0,1.0,0.0,0.0,76260.08891772792,1815.7164028030456,211.34295046865563,902.4737000011592
11,2,1800,0,0.9545454545454546,0.0,0.0,82389.47850332936,1872.48814780294,210.90629148008054,902.4737000011592
12,2,1800,0,0.9545454545454546,0.0,0.0,67293.13928034557,1529.389529098763,210.90629148008054,902.4737000011592
13,2,1800,0,0.9565217391304348,0.0,0.0,64941.157064027546,1411.7642840005988,210.50760283836263,902.4737000011592
14,2,1800,0,0.9545454545454546,0.0,0.0,64857.322049328875,1474.0300465756563,210.90629148008054,902.4737000011592
15,2,1800,0,0.9545454545454546,0.0,0.0,63662.41304641323,1446.873023782119,210.90629148007199,902.4736999973393
16,2,1800,0,0.9545454545454546,0.0,0.0,62282.31327566516,1415.507119901481,210.90629148008054,902.4736999965608
17,2,1800,0,0.9130434782608695,0.0,0.0,55319.2316158601,1202.5919916491328,210.50760283833802,902.4736999965608
18,2,1800,0,0.9545454545454546,0.0,0.0,48122.58333372817,1093.6950757665493,210.90629148008054,902.4736999965608
19,2,1800,0,1.0,0.0,0.0,43234.08851934761,1029.383059984467,211.34295046865563,902.4736999965608
20,2,1800,0,1.0,0.0,0.0,76281.60175636767,1816.2286132468494,211.34295046865563,902.4736999965608
21,2,1800,1,1.0,0.0,0.9545454545454546,55176.66333818429,656.8650397402891,105.93716483438519,828.6114320001143
22,2,1800,1,1.0,0.0,0.9130434782608696,47621.07852134988,566.9176014446415,110.74041370868896,828.2056799996672
23,2,1800,1,1.0,0.0,0.9130434782608696,73250.76612129381,851.7530944336489,108.1650552503298,828.5500519991274
24,2,1800,1,0.9565217391304348,0.0,0.88,52584.549053254974,404.4965311788844,78.0977973600285,828.5500519991274
25,2,1800,2,1.0,0.0,0.9166666666666666,86048.60412072513,201.9920284524064,23.416920869878293,933.70933964085
26,2,1800,2,0.9130434782608695,0.0,0.88,57283.09074019585,427.48575179250633,75.79031292539142,933.5117920001176
27,2,1800,2,0.9545454545454546,0.0,0.9166666666666666,79720.15215668279,372.5240754985177,45.775710845638535,902.2517079995632
28,2,1800,2,0.9565217391304348,0.0,0.875,68515.64623697985,527.0434325921527,75.00233469047805,902.2517079990594
29,2,1800,2,1.0,0.0,0.9767441860465116,70184.13531247037,233.94711770823457,58.36603817443665,902.2517079990594
30,2,1800,3,1.0,0.0,0.9130434782608696,77477.16153156136,455.74800900918444,55.11263841604205,957.1305547039465
31,2,1800,3,0.9545454545454546,0.0,0.9166666666666666,79775.17599387052,463.80916275506115,56.823745317251756,956.9096440001422
32,4,1800,0,1.0,0.0,0.0,70675.45639306173,841.3744808697825,105.67147523432781,868.1331200000877
33,4,1800,0,1.0,0.0,0.0,70604.70234026235,840.5321707174089,105.67147523432781,902.4736999999095
34,4,1800,0,1.0,0.0,0.0,73784.22213935066,838.4570697653485,105.45314574004027,902.4736999990218
35,4,1800,0,1.0,0.0,0.0,78382.64072777797,851.9852253019344,105.25380141916492,902.4736999990218
36,4,1800,0,1.0,0.0,0.0,75287.22484947891,855.5366460168058,105.45314574004027,902.4736999990218
37,4,1800,0,1.0,0.0,0.0,59864.537436329374,650.7014938731454,105.25380141916492,902.4736999990218
38,4,1800,0,1.0,0.0,0.0,68180.90584731502,741.0968026882067,105.25380141916492,902.4737000011592
39,4,1800,0,0.9565217391304348,0.0,0.0,44654.427079710964,485.37420738816263,105.25380141918131,902.4737000011592
40,4,1800,0,0.9545454545454546,0.0,0.0,44222.696556982104,502.53064269297846,105.45314574004027,902.4737000011592
41,4,1800,0,1.0,0.0,0.0,46574.708079804615,554.4608104738645,105.67147523432781,902.4737000011592
42,4,1800,0,1.0,0.0,0.0,76329.34164396476,908.6826386186281,105.67147523432781,902.4737000011592
43,4,1800,0,0.9545454545454546,0.0,0.0,82085.79659045665,932.7931430733711,105.45314574004027,902.4737000011592
44,4,1800,0,0.9545454545454546,0.0,0.0,65244.75183425986,741.4176344802257,105.45314574004027,902.4737000011592
45,4,1800,0,0.9565217391304348,0.0,0.0,64832.029741310886,704.6959754490314,105.25380141918131,902.4737000011592
46,4,1800,0,0.9545454545454546,0.0,0.0,67657.08491166527,768.8305103598326,105.45314574004027,902.4737000011592
47,4,1800,0,0.9545454545454546,0.0,0.0,64895.850424491575,737.4528457328588,105.45314574004027,902.4736999973429
48,4,1800,0,0.9545454545454546,0.0,0.0,63739.511437209716,724.3126299682922,105.45314574004027,902.4736999965608
49,4,1800,0,0.9545454545454546,0.0,0.0,53355.4947209072,606.312440010309,105.45314574004027,902.4736999965608
50,4,1800,0,0.9545454545454546,0.0,0.0,47679.931323575256,541.8174014042643,105.45314574004027,902.4736999965608
51,4,1800,0,1.0,0.0,0.0,44624.39547658974,531.2428032927351,105.67147523432781,902.4736999965608
52,4,1800,0,1.0,0.0,0.0,76127.09369913812,906.2749249897395,105.67147523432781,902.4736999965608
