,MEASURE_INTERVAL_S,TX_AGGREGATION_TIMER_NOMINAL,children,pdr,plr,aggregation_efficiency,energy,latency
0,1800,180,0,1.0,0.0,0.0,118601.03068398224,118601.03068398224
1,1800,180,0,1.0,0.0,0.0,119601.77944256496,119601.77944256496
2,1800,180,0,1.0,0.0,0.0,123595.9432946066,123595.9432946066
3,1800,180,0,1.0,0.0,0.0,130821.72095273223,130821.72095273223
4,1800,180,0,1.0,0.0,0.0,123841.62627314236,123841.62627314236
5,1800,180,0,0.9565217391304348,0.043478260869565216,0.0,111553.10217740235,111553.10217740235
6,1800,180,0,1.0,0.0,0.0,112412.60381444589,112412.60381444589
7,1800,180,0,1.0,0.0,0.0,88835.53382767063,88835.53382767063
8,1800,180,0,1.0,0.0,0.0,87974.4663473828,87974.4663473828
9,1800,180,0,0.9565217391304348,0.043478260869565216,0.0,87488.86077064734,87488.86077064734
10,1800,180,0,0.9565217391304348,0.043478260869565216,0.0,126772.34477169196,126772.34477169196
11,1800,180,0,1.0,0.0,0.0,123766.01136922877,123766.01136922877
12,1800,180,0,0.8695652173913043,0.13043478260869565,0.0,120849.6657094004,120849.6657094004
13,1800,180,0,0.0,0.6956521739130435,0.0,126072.88852390811,126072.88852390811
14,1800,180,0,0.8695652173913043,0.08695652173913043,0.0,108473.665305948,108473.665305948
15,1800,180,0,0.9565217391304348,0.043478260869565216,0.0,109528.13918261637,109528.13918261637
16,1800,180,0,0.9565217391304348,0.043478260869565216,0.0,109066.05472527415,109066.05472527415
17,1800,180,0,1.0,0.0,0.0,116121.01314416007,116121.01314416007
18,1800,180,0,0.9565217391304348,0.043478260869565216,0.0,91865.1357342152,91865.1357342152
19,1800,180,0,1.0,0.0,0.0,92023.43597795493,92023.43597795493
20,1800,180,0,1.0,0.0,0.0,84265.30358845384,84265.30358845384
21,1800,180,0,1.0,0.0,0.0,124318.0839834663,124318.0839834663
22,1800,180,1,1.0,0.0,0.5714285714285714,135692.68000794528,135692.68000794528
23,1800,180,1,1.0,0.0,0.92,95997.09459392008,95997.09459392008
24,1800,180,1,1.0,0.0,0.5142857142857142,129924.5041786533,129924.5041786533
25,1800,180,1,0.9130434782608695,0.043478260869565216,0.7666666666666666,103440.77397884183,103440.77397884183
26,1800,180,2,1.0,0.0,0.8928571428571429,98156.27988765258,98156.27988765258
27,1800,180,2,1.0,0.0,0.8888888888888888,93031.95467612808,93031.95467612808
28,1800,180,2,0.8695652173913043,0.08695652173913043,0.9230769230769231,127344.92648732911,127344.92648732911
29,1800,180,2,0.8695652173913043,0.043478260869565216,0.9523809523809523,117228.91634475262,117228.91634475262
30,1800,180,2,1.0,0.0,0.9642857142857143,109196.77743381135,109196.77743381135
31,1800,180,3,0.9565217391304348,0.0,0.9545454545454546,137090.4790128114,137090.4790128114
