,TX_AGGREGATION_TIMER_NOMINAL,MEASURE_INTERVAL_S,hops,pdr,plr,aggregation_efficiency,energy
0,300,1800,0,0.4421052631578947,0.37894736842105264,0.59375,303501.2653144755
1,300,1800,0,1.0,0.0,0.4973821989528796,342467.3695133544
2,300,1800,0,1.0,0.0,0.6041666666666667,333595.2526604209
3,300,1800,0,0.8736842105263158,0.12631578947368421,0.4973821989528796,372669.2607980967
4,300,1800,0,1.0,0.0,0.9947643979057592,374990.8327938093
5,300,1800,0,1.0,0.0,0.9947643979057592,388303.14978443325
6,300,1800,1,0.35789473684210527,0.5789473684210527,0.0,280453.38324592117
7,300,1800,1,1.0,0.0,0.0,292538.88563050184
8,300,1800,1,0.6105263157894737,0.3894736842105263,0.0,292525.33654188825
9,300,1800,1,1.0,0.0,0.0,306209.59152457654
10,300,1800,1,0.9473684210526315,0.05263157894736842,0.0,306248.0335330908
11,300,1800,1,0.9894736842105263,0.010526315789473684,0.0,307602.24929811235
12,300,1800,1,1.0,0.0,0.4973821989528796,360024.82628875115
13,300,1800,1,1.0,0.0,0.4973821989528796,359074.34655172465
14,300,1800,2,1.0,0.0,0.0,296053.7854042756
15,300,1800,3,1.0,0.0,0.0,292330.00632147695
16,360,1800,0,0.4421052631578947,0.37894736842105264,0.59375,303501.2653144755
17,360,1800,0,1.0,0.0,0.4973821989528796,342467.3695133544
18,360,1800,0,1.0,0.0,0.6041666666666667,333595.2526604209
19,360,1800,0,0.8736842105263158,0.12631578947368421,0.4973821989528796,372669.2607980967
20,360,1800,0,1.0,0.0,0.9947643979057592,374990.8327938093
21,360,1800,0,1.0,0.0,0.9947643979057592,388303.14978443325
22,360,1800,1,0.35789473684210527,0.5789473684210527,0.0,280453.38324592117
23,360,1800,1,1.0,0.0,0.0,292538.88563050184
24,360,1800,1,0.6105263157894737,0.3894736842105263,0.0,292525.33654188825
25,360,1800,1,1.0,0.0,0.0,306209.59152457654
26,360,1800,1,0.9473684210526315,0.05263157894736842,0.0,306248.0335330908
27,360,1800,1,0.9894736842105263,0.010526315789473684,0.0,307602.24929811235
28,360,1800,1,1.0,0.0,0.4973821989528796,360024.82628875115
29,360,1800,1,1.0,0.0,0.4973821989528796,359074.34655172465
30,360,1800,2,1.0,0.0,0.0,296053.7854042756
31,360,1800,3,1.0,0.0,0.0,292330.00632147695
