,MEASURE_INTERVAL_S,TX_AGGREGATION_TIMER_NOMINAL,children,pdr,plr,aggregation_efficiency,energy,energy_per_byte,energy_tx_per_byte,latency
397,1800,1260,0,0.8181818181818182,0.13636363636363635,0.0,115535.15056488043,875.266292158185,70.47922356006305,1323.7966848180913
398,1800,1260,0,0.8571428571428571,0.0,0.0,99788.04132917746,791.9685819775989,70.62477655625679,1323.7997095153187
399,1800,1260,0,0.8181818181818182,0.0,0.0,101285.54746772895,767.3147535434011,70.47922356007449,1323.5409351224807
400,1800,1260,0,0.9545454545454546,0.0,0.0,101631.33555308118,769.934360250615,70.47922356006305,1323.387728172478
401,1800,1260,0,1.0,0.0,0.0,107929.31512714538,817.6463267207984,70.47922356007449,1323.581423315416
402,1800,1260,0,0.9545454545454546,0.0,0.0,84352.03695565146,639.0305829973596,70.47922356007449,1324.0315198372336
403,1800,1260,0,1.0,0.0,0.0,75709.0068081781,600.865133398239,70.62477655625679,1323.5374151764554
404,1800,1260,0,1.0,0.0,0.0,113982.19848683676,904.6206229114028,70.62477655625679,1324.1746828913165
405,1800,1260,1,1.0,0.0,0.9545454545454546,86420.59061571326,342.93885164965576,35.48951467810371,1172.9425018864204
406,1800,1260,1,1.0,0.0,0.9130434782608696,79405.62858521854,315.1017007349942,37.09059763620047,1173.3956411490672
407,1800,1260,1,1.0,0.0,0.7916666666666666,118820.3123624052,257.1868232952493,21.34378870858091,1173.5290229000111
408,1800,1260,1,0.9545454545454546,0.0,0.875,95587.65361653328,370.4947814594313,37.79599328745148,1173.0219190084226
409,1800,1260,1,0.9565217391304348,0.0,0.88,85367.78926006825,218.89176733350834,26.20972552000763,1173.6845479002095
410,1800,1260,2,1.0,0.0,0.92,123919.86926536365,141.4610379741594,11.917418293153286,1316.3913238417517
411,1800,1260,2,0.9545454545454546,0.0,0.9166666666666666,89157.69271069525,225.14568866337186,24.804472426676146,1316.05956980047
412,1800,1260,2,1.0,0.0,0.9130434782608696,118492.82918857773,308.57507601192117,24.517831098757227,1262.0455201129844
413,1800,1260,2,0.8636363636363636,0.0,0.9130434782608696,107489.83468512428,279.92144449251117,24.517831098757227,1262.3240934465175
414,1800,1260,2,1.0,0.0,0.9583333333333334,98293.60227530134,109.21511363922372,11.164306513068702,1262.1723252181873
415,1800,1260,3,0.9545454545454546,0.0,0.92,127909.77729727706,199.23641323563405,16.097266889730264,1711.8610746450677
416,1800,1350,0,1.0,0.0,0.0,107361.6523391837,852.0766058665373,70.62477655625679,1434.1923119073717
417,1800,1350,0,1.0,0.0,0.0,107566.87391469494,853.7053485293249,70.62477655625679,1434.6073416240033
418,1800,1350,0,1.0,0.0,0.0,112350.30605066795,851.1386822020299,70.47922356006305,1434.7231220919348
419,1800,1350,0,1.0,0.0,0.0,119789.50251370898,868.0398732877462,70.34632734615795,1434.4993417481764
420,1800,1350,0,1.0,0.0,0.0,114261.07812121298,865.6142281910074,70.47922356006305,1434.377719763981
421,1800,1350,0,1.0,0.0,0.0,102940.21579356544,745.9435927069959,70.34632734615795,1434.3876462059725
422,1800,1350,0,1.0,0.0,0.0,102531.36471232316,742.9809037124867,70.34632734615795,1434.6441728311947
423,1800,1350,0,0.9565217391304348,0.0,0.0,84916.64983099418,615.3380422535811,70.34632734615795,1434.2086354938328
424,1800,1350,0,0.9565217391304348,0.0,0.0,81567.22969719753,591.0668818637503,70.34632734615795,1434.6020855366223
425,1800,1350,0,0.9545454545454546,0.0,0.0,81925.02363113116,620.6441184176603,70.47922356006305,1434.2684703673222
426,1800,1350,0,1.0,0.0,0.0,115478.06332568268,916.4925660768467,70.62477655625679,1434.593183471483
427,1800,1350,0,1.0,0.0,0.0,116270.73466279526,880.8388989605702,70.47922356006305,1435.0012170375558
428,1800,1350,0,0.9545454545454546,0.045454545454545456,0.0,112728.74848645511,854.0056703519326,70.47922356006305,1434.7915004845308
429,1800,1350,0,0.9545454545454546,0.0,0.0,116892.07298368718,885.5460074521756,70.47922356006305,1434.220829312002
430,1800,1350,0,1.0,0.0,0.0,100584.07454927942,798.2863059466621,70.62477655625679,1434.1857607513994
431,1800,1350,0,0.9545454545454546,0.0,0.0,102519.97549796807,776.6664810452127,70.47922356007449,1434.7448745754518
432,1800,1350,0,0.9545454545454546,0.0,0.0,101969.47884300892,772.4960518409767,70.47922356006305,1434.5325480373067
433,1800,1350,0,1.0,0.0,0.0,107580.01350049331,815.0001022764645,70.47922356007449,1434.497466862842
434,1800,1350,0,0.9545454545454546,0.0,0.0,84967.92084820625,643.6963700621686,70.47922356007449,1434.9278393575878
435,1800,1350,0,1.0,0.0,0.0,76214.0581868048,604.873477673054,70.62477655625679,1434.701409764908
436,1800,1350,0,1.0,0.0,0.0,114063.1465241981,905.263067652366,70.62477655625679,1434.5539524934939
437,1800,1350,1,1.0,0.0,0.9545454545454546,86950.51125778149,345.04171134040274,35.48951467810371,1306.4718733502232
438,1800,1350,1,1.0,0.0,0.9130434782608696,80291.25650404161,318.61609723826035,37.09059763620047,1306.499890272581
439,1800,1350,1,1.0,0.0,0.9166666666666666,119469.49903675672,186.0895623625494,15.468804420196076,1305.9804206269891
440,1800,1350,1,0.9545454545454546,0.0,0.9166666666666666,127515.78467288693,332.07235591897637,25.56577419000784,1306.5205849165231
441,1800,1350,1,0.9545454545454546,0.0,0.875,96233.99898711493,372.99999607408887,37.79599328745148,1306.3162644821314
442,1800,1350,2,1.0,0.0,0.9166666666666666,123100.72168158309,193.55459383896712,15.613065533592431,1364.1735696506753
443,1800,1350,2,0.9545454545454546,0.0,0.9166666666666666,90450.81471718001,228.4111482757071,24.804472426676146,1363.9098869428462
444,1800,1350,2,1.0,0.0,0.9130434782608696,119783.94948821953,311.93736845890504,24.517831098757227,1352.6967400725525
445,1800,1350,2,0.9565217391304348,0.0,0.88,86713.812741266,166.11841521315324,19.71431465288474,1352.4392318276314
446,1800,1350,2,1.0,0.0,0.9583333333333334,98919.80144173371,95.85252077687375,9.801191512560386,1352.1192288180264
447,1800,1350,3,1.0,0.0,0.9130434782608696,107786.44973464428,211.34597987185154,18.591766512009727,2323.378870804594
448,1800,1440,0,1.0,0.0,0.0,108169.22534459089,858.485915433261,70.62477655625679,1490.426738376079
449,1800,1440,0,1.0,0.0,0.0,108825.77887886799,863.6966577687936,70.62477655625679,1490.0972602412385
