,LORA_SF,MEASURE_INTERVAL_S,hops,pdr,plr,aggregation_efficiency,energy,energy_per_byte,energy_tx_per_byte,latency
0,7,1800,0,1.0,0.0,0.0,44826.62224565756,747.1103707609594,74.14715906399445,856.7388898225681
1,7,1800,0,1.0,0.0,0.0,44911.26330528953,748.5210550881588,74.14715906399445,826.8581920001398
2,7,1800,0,1.0,0.0,0.0,51083.51321569155,773.992624480175,73.53583647999444,796.7716039997595
3,7,1800,0,1.0,0.0,0.75,51475.10154715682,231.86982678899466,22.182747840000662,766.7386279991933
4,7,1800,0,1.0,0.0,0.0,49614.90788295454,826.9151313825756,74.14715906399445,737.2699319992953
5,7,1800,0,1.0,0.0,0.0,48778.12983596706,739.0625732722282,73.53583647999444,706.7079719993217
6,7,1800,0,1.0,0.0,0.0,42726.10836559777,712.1018060932962,74.14715906399445,677.2535079993377
7,7,1800,0,1.0,0.0,0.0,45546.604465637676,759.1100744272946,74.14715906399445,647.1583000008941
8,7,1800,0,1.0,0.0,0.75,37032.34734083101,308.60289450692505,40.60412382399091,616.8363320008175
9,7,1800,0,1.0,0.0,0.9,34509.09880880761,155.44639103066493,18.56700559999563,587.326340000709
10,7,1800,0,0.9090909090909091,0.09090909090909091,0.0,51578.62038752454,781.4942482958264,73.53583647999444,847.0593858906632
11,7,1800,0,1.0,0.0,0.75,53609.36590610733,186.14363161842823,17.19145479333363,817.357332000146
12,7,1800,0,1.0,0.0,0.8181818181818181,50897.53761931962,235.63674823759084,20.93592533999959,787.2707439995384
13,7,1800,0,1.0,0.0,0.6923076923076923,50044.43265919446,219.49312569822132,23.377931766316934,757.6935199992295
14,7,1800,0,1.0,0.0,0.0,49448.61459977433,824.1435766629055,74.14715906399445,727.6246919992827
15,7,1800,1,0.9,0.0,0.8181818181818181,33299.04879710128,292.09691927281824,39.19262451788546,2035.5853760002938
16,7,1800,1,0.9090909090909091,0.0,0.0,31984.823409912628,484.6185365138277,73.53583647999444,2215.230655998156
17,7,1800,1,0.9,0.0,0.8181818181818181,53062.00147359608,315.8452468666433,26.765795665716134,2395.700827997729
18,7,1800,1,0.9,0.0,0.0,52466.55698325302,874.4426163875503,74.14715906399445,2574.9263559975934
19,7,1800,1,0.8,0.1,0.0,47433.880260574086,790.5646710095681,74.14715906399445,2754.7723959975174
20,7,1800,1,0.8181818181818182,0.0,0.0,52049.29228800203,788.6256407273034,73.53583647999444,2935.186116000943
21,7,1800,1,0.9090909090909091,0.0,0.75,46414.38939449545,386.7865782874621,40.60412382399091,3235.156080004381
22,7,1800,1,0.9,0.0,0.8181818181818181,46754.31437932262,410.1255647309002,39.19262451788546,1434.560508001865
23,7,1800,1,0.9,0.0,0.8181818181818181,37559.646234306274,223.56932282325164,26.772121608575286,2334.1100920030367
24,7,1800,1,0.9,0.0,0.0,30558.317620844617,509.3052936807436,74.14715906399445,1937.4696040002045
25,7,1800,2,0.8181818181818182,0.0,0.0,32312.633140982656,489.5853506209493,73.53583647999444,2337.3033480003005
26,7,1800,2,0.9,0.0,0.0,32223.995337734625,537.0665889622437,74.14715906399445,2516.3212639981875
27,7,1800,2,0.8181818181818182,0.0,0.0,41026.168327211526,621.6086110183564,73.53583647999444,2696.791435997404
28,7,1800,2,0.9,0.0,0.0,41834.42459752772,697.2404099587953,74.14715906399445,2876.3603359972585
29,7,1800,2,1.0,0.0,0.0,41155.84553371552,762.1452876613985,74.89433111110557,3056.2063759971825
30,7,1800,2,0.8181818181818182,0.0,0.0,42287.048758047735,640.7128599704203,73.53583647999444,3236.620096000608
31,7,1800,2,0.8181818181818182,0.0,0.0,34070.587791619764,516.221027145754,73.53583647999444,3536.5900600047644
32,8,1800,0,1.0,0.0,0.0,46277.10579579028,701.1682696331861,74.60181536000614,918.1645520000984
33,8,1800,0,1.0,0.0,0.0,45701.12352197828,761.6853920329714,75.22054504800604,887.810972000133
34,8,1800,0,1.0,0.0,0.0,52070.48693551373,867.8414489252287,75.22054504800604,858.0491360001306
35,8,1800,0,1.0,0.0,0.8181818181818181,51737.17628670609,215.57156786127538,19.407366022000737,828.0149279991747
36,8,1800,0,1.0,0.0,0.0,50686.53732276143,844.7756220460238,75.22054504800604,798.2530919992078
37,8,1800,0,1.0,0.0,0.0,49366.17565306949,747.9723583798408,74.60181536000614,767.8111319992586
38,8,1800,0,1.0,0.0,0.0,44267.50786036085,670.7198160660735,74.60181536000472,738.5310479993132
39,8,1800,0,1.0,0.0,0.0,46278.277201816716,771.3046200302786,75.22054504800604,707.9670800000094
40,8,1800,0,1.0,0.0,0.8333333333333334,37502.47029312173,312.52058577601446,41.367538607990646,678.3956240009247
41,8,1800,0,0.9090909090909091,0.09090909090909091,0.8333333333333334,36093.504816363034,117.95263011883344,16.72268575999899,648.319036000903
42,8,1800,0,1.0,0.0,0.0,54699.252129286084,828.7765474134255,74.60181536000472,617.9184480008153
43,8,1800,0,1.0,0.0,0.9090909090909091,54248.791879787066,115.91622196535698,10.338540113844825,873.518376000171
44,8,1800,0,0.9090909090909091,0.09090909090909091,0.7692307692307692,54099.25505406893,429.3591670957852,42.655490030466865,843.5941680002124
