,MEASURE_INTERVAL_S,TX_COLLISION_TIMER_NOMINAL,hops,pdr,plr,aggregation_efficiency,energy
0,1800,180,0,1.0,0.0,0.0,120826.76846628006
1,1800,180,0,1.0,0.0,0.0,120800.55303496835
2,1800,180,0,1.0,0.0,0.0,125227.72244615888
3,1800,180,0,1.0,0.0,0.9565217391304348,133555.2394761608
4,1800,180,0,0.9565217391304348,0.043478260869565216,0.0,131856.0663967169
5,1800,180,0,1.0,0.0,0.0,124803.36061235158
6,1800,180,0,1.0,0.0,0.0,113647.59188245721
7,1800,180,0,0.9565217391304348,0.043478260869565216,0.0,114320.15432251822
8,1800,180,0,1.0,0.0,0.9523809523809523,97561.12029669837
9,1800,180,0,1.0,0.0,0.0,127450.243289155
10,1800,180,0,1.0,0.0,0.9090909090909091,131105.82494552011
11,1800,180,0,1.0,0.0,0.9444444444444444,129691.13958828263
12,1800,180,0,1.0,0.0,0.9473684210526316,107951.61545562363
13,1800,180,0,1.0,0.0,0.0,127583.403882636
14,1800,180,1,1.0,0.0,0.8421052631578947,98298.22184938948
15,1800,180,1,1.0,0.0,0.0,127459.82035581558
16,1800,180,1,0.9565217391304348,0.043478260869565216,0.76,137030.5581243365
17,1800,180,1,1.0,0.0,0.0,124002.48909191755
18,1800,180,1,1.0,0.0,0.8823529411764706,125318.28863801448
19,1800,180,1,0.9565217391304348,0.043478260869565216,0.0,118586.1994919506
20,1800,180,1,1.0,0.0,0.8888888888888888,94289.25590216307
21,1800,180,1,1.0,0.0,0.0,88394.95080951878
22,1800,180,2,1.0,0.0,0.0,96033.31288941922
23,1800,180,2,1.0,0.0,0.0,92666.82604663973
24,1800,180,2,1.0,0.0,0.9047619047619048,91139.8027565385
25,1800,180,2,1.0,0.0,0.0,113389.28509070093
26,1800,180,2,1.0,0.0,0.0,113623.0389744065
27,1800,180,2,1.0,0.0,0.0,113383.99085514835
28,1800,180,2,0.9090909090909091,0.09090909090909091,0.9047619047619048,106953.51173570736
29,1800,180,2,1.0,0.0,0.0,119619.82308550578
30,1800,180,3,1.0,0.0,0.0,92716.82568818341
31,1800,180,3,0.9090909090909091,0.09090909090909091,0.0,96561.91540868551
32,1800,270,0,1.0,0.0,0.0,121615.72276559581
33,1800,270,0,1.0,0.0,0.0,122109.85231205937
34,1800,270,0,1.0,0.0,0.0,126083.21290958018
35,1800,270,0,1.0,0.0,0.8636363636363636,134652.22758971798
36,1800,270,0,1.0,0.0,0.0,131648.46746953932
37,1800,270,0,1.0,0.0,0.0,125654.78484464427
38,1800,270,0,1.0,0.0,0.0,115226.69911440268
39,1800,270,0,1.0,0.0,0.0,114653.69055999025
40,1800,270,0,1.0,0.0,0.9523809523809523,99127.7501123442
41,1800,270,0,1.0,0.0,0.0,128304.40174510634
42,1800,270,0,1.0,0.0,0.625,132627.34392012315
43,1800,270,0,1.0,0.0,0.9444444444444444,130096.47127643733
44,1800,270,0,1.0,0.0,0.9444444444444444,108000.68170739937
45,1800,270,0,1.0,0.0,0.0,129161.15848706658
46,1800,270,1,0.8695652173913043,0.08695652173913043,0.8421052631578947,98912.09938121813
47,1800,270,1,1.0,0.0,0.0,127704.57690543585
48,1800,270,1,1.0,0.0,0.9130434782608696,137369.8462919076
49,1800,270,1,1.0,0.0,0.0,124658.02483726328
50,1800,270,1,0.8181818181818182,0.18181818181818182,0.0,127447.4784991676
51,1800,270,1,1.0,0.0,0.9375,117876.69061804695
52,1800,270,1,1.0,0.0,0.9411764705882353,93900.56381781581
53,1800,270,1,1.0,0.0,0.0,89631.61520852221
54,1800,270,2,0.8636363636363636,0.13636363636363635,0.0,96221.11241211266
55,1800,270,2,0.8636363636363636,0.13636363636363635,0.0,93186.45149051039
56,1800,270,2,1.0,0.0,0.95,91391.93971559328
57,1800,270,2,1.0,0.0,0.0,113553.5693734179
58,1800,270,2,1.0,0.0,0.0,113844.513019864
59,1800,270,2,1.0,0.0,0.0,113560.45796341995
60,1800,270,2,1.0,0.0,0.9090909090909091,106947.2323993054
61,1800,270,2,1.0,0.0,0.0,119818.51240587153
62,1800,270,3,1.0,0.0,0.0,93212.36998755427
63,1800,270,3,1.0,0.0,0.0,97267.42938090424
64,1800,360,0,0.9565217391304348,0.043478260869565216,0.0,123059.96628536958
65,1800,360,0,1.0,0.0,0.0,122464.09282933276
