,TX_AGGREGATION_TIMER_NOMINAL,MEASURE_INTERVAL_S,children,pdr,plr,aggregation_efficiency,energy,energy_per_byte,energy_tx_per_byte,latency
2576,1476,1800,0,0.9545454545454546,0.0,0.0,69782.22516737027,528.6532209649263,70.47922356007449,1478.3269975176408
2577,1476,1800,0,0.9545454545454546,0.0,0.0,58315.17172807957,441.7816040006028,70.47922356006305,1478.4310083991368
2578,1476,1800,0,0.9545454545454546,0.0,0.0,51958.05890775635,393.62165839209354,70.47922356007449,1478.1372597332665
2579,1476,1800,0,0.9545454545454546,0.0,0.0,52252.244681134565,395.8503384934437,70.47922356007449,1478.3816029263035
2580,1476,1800,0,1.0,0.0,0.0,47431.60963898042,376.44134634111447,70.62477655625679,1478.148454546994
2581,1476,1800,0,1.0,0.0,0.0,88003.54383608738,698.4408240959316,70.62477655625679,1477.9474710687791
2582,1476,1800,1,1.0,0.0,0.9130434782608696,60100.207508351836,232.94654073004588,36.23214481675526,1558.2356595232632
2583,1476,1800,1,1.0,0.0,0.9545454545454546,84365.84964731999,334.7851176480952,35.48951467810671,1557.7502880562934
2584,1476,1800,2,1.0,0.0,0.9428571428571428,96607.05018763727,76.30888640413687,11.569158246453831,1543.1340095531427
2585,1476,1800,2,0.9545454545454546,0.0,0.9166666666666666,59792.81682861274,94.01386293807035,15.613065533593026,1543.0622381926332
2586,1476,1800,2,0.9545454545454546,0.0,0.9166666666666666,57087.503142686706,148.6653727674133,25.56577419000784,1285.6204773843729
2587,1476,1800,2,0.9545454545454546,0.0,0.9166666666666666,88819.09186379114,139.65266016319362,15.611394529820691,1478.0357241510283
2588,1476,1800,2,0.9130434782608695,0.0,0.88,78312.06250284494,200.80016026370498,26.20972552000763,1279.9438575330933
2589,1476,1800,2,1.0,0.0,0.9166666666666666,69856.30622216842,79.20216124962407,11.383714912654602,1478.1217504944834
2590,1476,1800,3,1.0,0.0,0.9166666666666666,90341.80951410382,177.14080296883103,19.378722176008413,1441.078655391887
2591,1476,1800,3,0.9545454545454546,0.0,0.9166666666666666,90477.17426145649,177.40622404207153,19.380806016010187,1478.7690609319743
2592,1494,1800,0,1.0,0.0,0.0,80118.8377290963,606.9608918870931,70.47922356006305,1414.7367311435796
2593,1494,1800,0,1.0,0.0,0.0,79208.33999216268,628.6376189854182,70.62477655625679,1496.1778954972242
2594,1494,1800,0,1.0,0.0,0.0,84599.15267903345,640.9026718108595,70.47922356006305,1496.209087878242
2595,1494,1800,0,1.0,0.0,0.0,88422.5036430185,669.8674518410493,70.47922356006305,1496.31266256635
2596,1494,1800,0,1.0,0.0,0.0,83647.6749831649,633.694507448219,70.47922356007449,1495.9470468257623
2597,1494,1800,0,1.0,0.0,0.0,66127.5469349348,500.96626465859697,70.47922356007449,1496.1565749403053
2598,1494,1800,0,1.0,0.0,0.0,72371.89689492332,548.2719461736615,70.47922356007449,1496.033756925115
2599,1494,1800,0,1.0,0.0,0.0,47459.24834621022,376.66070116039856,70.62477655626877,1496.7538941865278
2600,1494,1800,0,0.9565217391304348,0.0,0.0,49132.979130976935,356.0360806592532,70.34632734615795,1496.6578473862646
2601,1494,1800,0,0.9565217391304348,0.0,0.0,52899.42879838021,383.329194191161,70.34632734615795,1496.7692791694244
2602,1494,1800,0,1.0,0.0,0.0,90172.85114876421,715.657548799716,70.62477655625679,1496.579693217176
2603,1494,1800,0,0.9545454545454546,0.0,0.0,73385.50932414815,555.9508282132435,70.47922356006305,1496.1707217246221
2604,1494,1800,0,0.9090909090909091,0.09090909090909091,0.0,74707.09352129675,565.9628297067935,70.47922356007449,1496.2860120822988
2605,1494,1800,0,0.9545454545454546,0.0,0.0,73631.53399264338,557.8146514594196,70.47922356006305,1496.6230168011643
2606,1494,1800,0,0.36363636363636365,0.6363636363636364,0.0,68673.73867361996,520.2555960122723,70.47922356007449,1496.7341406658852
2607,1494,1800,0,0.09523809523809523,0.9047619047619048,0.0,68433.5299621219,543.1232536676341,70.62477655625679,1495.983643716554
2608,1494,1800,0,0.9545454545454546,0.0,0.0,58957.36876261516,446.64673305011485,70.47922356006305,1496.661086314838
2609,1494,1800,0,0.9565217391304348,0.0,0.0,52397.73579694637,379.6937376590317,70.34632734615795,1496.4515022273918
2610,1494,1800,0,1.0,0.0,0.0,51998.10607664,393.92504603515147,70.47922356007449,1496.7372421751352
2611,1494,1800,0,0.9565217391304348,0.0,0.0,49585.362327461924,359.31421976421683,70.34632734615795,1496.6032628963658
2612,1494,1800,0,0.9545454545454546,0.0,0.0,88109.11877115307,667.4933240238869,70.47922356006305,1496.070162316406
2613,1494,1800,1,1.0,0.0,0.9166666666666666,60418.502533548795,223.77223160573627,36.127979790232374,1419.2074983557554
2614,1494,1800,1,0.9545454545454546,0.0,0.9130434782608696,88288.2014611635,342.20233124481973,36.23214481675233,1496.5003680559812
2615,1494,1800,1,1.0,0.0,0.9130434782608696,83964.74036872818,325.44473011134954,36.23214481675526,1496.12028614448
2616,1494,1800,2,1.0,0.0,0.9166666666666666,91133.52831014272,97.36488067322941,10.754212344617418,1458.0082040770849
2617,1494,1800,2,0.9545454545454546,0.045454545454545456,0.9166666666666666,60020.67701784301,92.62450157074538,15.330494927416295,1330.5431818231173
2618,1494,1800,2,0.9545454545454546,0.0,0.9166666666666666,56630.98820919256,143.0075459828095,24.804472426676146,1330.335746904968
2619,1494,1800,2,0.9545454545454546,0.0,0.9166666666666666,85288.06684103001,159.71548097571164,18.5296603973127,1331.1495283509885
2620,1494,1800,2,0.9047619047619048,0.09523809523809523,0.9565217391304348,83441.03999305752,262.39320752533814,29.49615130415791,1331.0744400581298
2621,1494,1800,2,1.0,0.0,0.9565217391304348,75743.66395852334,194.21452297057266,24.146083740315085,1331.3455009011304
2622,1494,1800,2,1.0,0.0,0.9583333333333334,67094.32787861973,74.54925319846637,11.16312567040208,1331.3953141123402
2623,1494,1800,3,1.0,0.0,0.9130434782608696,87239.02750594851,137.16828224205742,14.978674172837707,1457.5097908308144
2624,1512,1800,0,1.0,0.0,0.0,80010.05139711022,635.0004079135732,70.62477655626877,1484.6042190044936
2625,1512,1800,0,1.0,0.0,0.0,82679.93899578374,626.3631742104828,70.47922356006305,1514.3652269285667
2626,1512,1800,0,1.0,0.0,0.0,84436.61551621632,639.6713296683055,70.47922356007449,1514.5804706080453
