,LORA_SF,LORA_TRANSMIT_POWER,hops,pdr,plr,aggregation_efficiency,energy,energy_per_byte,energy_tx_per_byte
646,8,9,0,1.0,0.0,0.0,61916.97832666477,1031.9496387777463,75.22054504800604
647,8,9,0,1.0,0.0,0.0,62548.35899117094,947.7024089571355,74.60181536000614
648,8,9,0,1.0,0.0,0.0,62478.61211496311,1041.3102019160517,75.22054504800447
649,8,9,0,1.0,0.0,0.6923076923076923,63582.157819136744,365.4147001099813,31.181633028962853
650,8,9,0,1.0,0.0,0.9090909090909091,61627.751984594164,380.41822212712447,28.397400565919455
651,8,9,0,1.0,0.0,0.0,62437.289285929735,1040.6214880988289,75.22054504800447
652,8,9,0,1.0,0.0,0.0,62470.41919224343,1041.1736532040572,75.22054504800447
653,8,9,0,1.0,0.0,0.0,61264.61469580828,1134.5299017742275,75.97677022222815
654,8,9,0,0.8888888888888888,0.1111111111111111,0.8888888888888888,61120.08058758191,159.16687653016123,10.318226861249672
655,8,9,0,1.0,0.0,0.8181818181818181,62186.66362300698,259.11109842919575,19.40736602199995
656,8,9,0,1.0,0.0,0.0,62688.93323382361,1044.8155538970602,75.22054504800447
657,8,9,0,1.0,0.0,0.0,62634.81630270212,949.0123682227594,74.60181536000472
658,8,9,0,1.0,0.0,0.0,62448.949032690456,946.1961974650069,74.60181536000614
659,8,9,1,1.0,0.0,0.0,61680.89494868323,1028.014915811387,75.22054504800604
660,8,9,1,1.0,0.0,0.0,61230.44894747326,1133.8972027309862,75.97677022222815
661,8,9,1,1.0,0.0,0.0,62627.28776166115,1043.7881293610192,75.22054504800447
662,8,9,1,1.0,0.0,0.0,62600.84793784205,948.4976960279099,74.60181536000472
663,8,9,1,1.0,0.0,0.0,61720.53708978738,1028.675618163123,75.22054504800604
664,8,9,1,1.0,0.0,0.0,62418.970668979375,1040.3161778163228,75.22054504800447
665,8,9,1,0.8181818181818182,0.18181818181818182,0.0,63201.53798955569,957.5990604478135,74.60181536000472
666,8,9,1,0.9090909090909091,0.09090909090909091,0.0,63204.27336666406,957.6405055555161,74.60181536000472
667,8,9,1,0.9,0.1,0.0,62702.86643444227,1045.0477739073713,75.22054504800447
668,8,9,1,0.8888888888888888,0.1111111111111111,0.0,60985.386858034544,1129.3590158895286,75.97677022222815
669,8,9,1,0.9090909090909091,0.09090909090909091,0.0,62518.55376486498,947.2508146191664,74.60181536000614
670,8,9,1,0.8181818181818182,0.18181818181818182,0.0,63202.259708721744,957.6099955866931,74.60181536000472
671,8,9,1,1.0,0.0,0.0,62504.33852605657,947.0354322129783,74.60181536000614
672,8,10,0,1.0,0.0,0.0,61631.438025566975,1027.1906337594496,75.22054504800447
673,8,10,0,0.8181818181818182,0.18181818181818182,0.0,61038.83671538972,924.8308593240866,74.60181536000614
674,8,10,0,1.0,0.0,0.0,61702.895365927514,934.8923540292047,74.60181536000472
675,8,10,0,1.0,0.0,0.0,61254.05468504896,1020.9009114174827,75.22054504800447
676,8,10,0,0.8181818181818182,0.18181818181818182,0.0,61100.48750402482,925.7649621821943,74.60181536000614
677,8,10,0,1.0,0.0,0.0,61417.01919370657,1023.6169865617761,75.22054504800447
678,8,10,0,1.0,0.0,0.0,61576.33774630103,1026.272295771684,75.22054504800447
679,8,10,0,1.0,0.0,0.0,60360.53376726908,1117.7876623568347,75.97677022222815
680,8,10,0,1.0,0.0,0.0,60303.478268955034,1116.7310790547228,75.97677022222815
681,8,10,0,1.0,0.0,0.8181818181818181,61375.08882248156,365.3279096576283,27.42116334571054
682,8,10,0,1.0,0.0,0.0,59998.8685010184,1111.0901574262666,75.97677022222815
683,8,10,0,1.0,0.0,0.0,60184.01245664736,1114.5187491971733,75.97677022222815
684,8,10,0,1.0,0.0,0.0,61727.81960772347,1028.7969934620578,75.22054504800447
685,8,10,0,1.0,0.0,0.0,61583.27280847351,1026.3878801412252,75.22054504800447
686,8,10,0,1.0,0.0,0.8,61113.14642440205,275.28444335316243,19.08402319999774
687,8,10,0,0.9,0.1,0.8,61123.799812764155,216.75106316583035,15.189413191489336
688,8,10,0,1.0,0.0,0.8333333333333334,62104.693296512414,272.38900568645795,22.182576193683214
689,8,10,0,1.0,0.0,0.0,61395.177700689506,1023.2529616781584,75.22054504800447
690,8,10,0,1.0,0.0,0.0,61770.54809922149,935.9173954427498,74.60181536000472
691,8,10,0,1.0,0.0,0.0,60487.26726543158,1120.1345789894738,75.97677022222815
692,8,10,1,1.0,0.0,0.0,61337.65535135955,1022.2942558559924,75.22054504800447
693,8,10,1,1.0,0.0,0.0,61680.8870874981,1028.014784791635,75.22054504800447
694,8,10,1,1.0,0.0,0.0,61551.000010713025,932.5909092532277,74.60181536000472
695,8,10,1,1.0,0.0,0.0,60800.25864945839,1013.3376441576398,75.22054504800604
696,8,10,1,0.8,0.2,0.0,61340.24182880511,1022.3373638134185,75.22054504800447
697,8,10,1,0.8888888888888888,0.1111111111111111,0.0,60282.29066203667,1116.338715963642,75.97677022222815
698,8,10,1,0.8181818181818182,0.18181818181818182,0.0,61452.16833253919,931.0934595839271,74.60181536000614
699,8,10,1,0.8181818181818182,0.09090909090909091,0.0,61223.48926902567,927.6286252882677,74.60181536000614
700,8,10,1,1.0,0.0,0.0,61442.84542052954,1024.0474236754924,75.22054504800447
701,8,10,1,1.0,0.0,0.0,61730.7688594679,1028.8461476577984,75.22054504800447
702,8,10,1,1.0,0.0,0.0,60317.46764630164,1116.9901415981785,75.97677022222815
703,8,10,1,1.0,0.0,0.0,60161.31789345886,1114.0984795084973,75.97677022222815
704,8,11,0,1.0,0.0,0.0,62743.05863181107,1045.7176438635179,75.22054504800604
705,8,11,0,1.0,0.0,0.0,63890.52481884994,968.0382548310597,74.60181536000472
706,8,11,0,1.0,0.0,0.0,63162.66438899088,1052.711073149848,75.22054504800447
707,8,11,0,1.0,0.0,0.0,61655.789552088616,1141.7738805942336,75.97677022222815
708,8,11,0,1.0,0.0,0.0,62352.36997317175,1039.2061662195292,75.22054504800604
709,8,11,0,1.0,0.0,0.0,62089.96120718845,1034.8326867864741,75.22054504800604
710,8,11,0,1.0,0.0,0.0,61663.2003241135,1141.911117113213,75.97677022222815
711,8,11,0,1.0,0.0,0.0,63767.742024786625,966.177909466464,74.60181536000472
712,8,11,0,1.0,0.0,0.0,63781.355395518054,966.3841726593645,74.60181536000472
