,CAD_INTERVAL_RANDOM_S,MEASURE_INTERVAL_S,children,pdr,plr,aggregation_efficiency,energy,energy_per_byte,energy_tx_per_byte,latency
35,0.019,1800,0,1.0,0.0,0.0,86990.17427391009,630.3635816950007,70.346327346147,946.194699999176
36,0.019,1800,0,1.0,0.0,0.0,82808.8494316715,627.3397684217538,70.47922356006305,946.2325839992263
37,0.019,1800,0,1.0,0.0,0.0,67799.02877560632,491.29730996816176,70.346327346147,946.194699999176
38,0.019,1800,0,1.0,0.0,0.0,75298.7340682106,570.4449550622015,70.47922356006305,946.2325839992263
39,0.019,1800,0,0.9565217391304348,0.0,0.0,56586.15432378788,410.04459654918753,70.34632734615795,946.1947000017462
40,0.019,1800,0,1.0,0.0,0.0,50254.4941203687,380.71586454824774,70.47922356007449,946.232584001802
41,0.019,1800,0,0.9565217391304348,0.0,0.0,50804.1017692602,368.14566499463916,70.346327346147,946.1947000017681
42,0.019,1800,0,0.9545454545454546,0.0,0.0,90549.59780986367,685.9818015898763,70.47922356006305,946.232584001802
43,0.019,1800,0,0.9565217391304348,0.0,0.0,74186.68617677253,537.5846824403807,70.346327346147,946.1947000017681
44,0.019,1800,0,0.9545454545454546,0.0,0.0,73462.56526787757,556.5345853627089,70.47922356006305,946.232584001802
45,0.019,1800,0,1.0,0.0,0.0,70741.18801826934,535.9180910474951,70.47922356006305,946.1947000017681
46,0.019,1800,0,0.9565217391304348,0.0,0.0,68856.82225422078,498.96248010304913,70.346327346147,946.232584001802
47,0.019,1800,0,0.9545454545454546,0.0,0.0,70360.57395936939,533.0346512073438,70.47922356006305,946.1947000017681
48,0.019,1800,0,0.9565217391304348,0.0,0.0,61001.74928966679,442.0416615193246,70.346327346147,946.2325839949845
49,0.019,1800,0,0.9545454545454546,0.0,0.0,55121.607161345644,417.5879330404973,70.47922356006305,946.194699995649
50,0.019,1800,0,1.0,0.0,0.0,49163.903238677834,390.18970824347485,70.62477655625679,946.232583994919
51,0.019,1800,0,0.9545454545454546,0.0,0.0,88371.26418268909,669.479274111281,70.47922356006305,946.194699995649
52,0.019,1800,1,1.0,0.0,0.9130434782608696,62113.67787186828,240.75068942584605,36.23214481675233,888.8254240004544
53,0.019,1800,1,1.0,0.0,0.9565217391304348,53265.82309205196,201.76448140928775,35.41673818001051,760.8371040003676
54,0.019,1800,1,0.9565217391304348,0.0,0.9166666666666666,88575.3283769815,328.05677176659816,36.12797979022958,760.8477319993417
55,0.019,1800,1,1.0,0.0,0.9130434782608696,84781.59497782229,336.434900705644,37.09059763619747,760.179979999326
56,0.019,1800,1,0.9565217391304348,0.0,0.88,54396.917775855785,135.31571586033778,25.440564041800297,760.1906079993423
57,0.019,1800,2,1.0,0.0,0.9166666666666666,90878.03206028441,78.47843873945114,8.774204017412279,954.6946840004575
58,0.019,1800,2,0.9565217391304348,0.0,0.88,62929.32301242842,156.5406045085284,25.440564041800297,640.6646680003532
59,0.019,1800,2,0.9545454545454546,0.0,0.9166666666666666,91268.39786940438,142.16261350374512,15.470459807111311,588.0251200000648
60,0.019,1800,2,0.9565217391304348,0.0,0.9166666666666666,89309.24212292932,225.52838919931648,24.80178869334005,588.0184919994881
61,0.019,1800,2,0.9545454545454546,0.0,0.9166666666666666,78325.81902655841,200.83543340143183,25.17790463016281,588.0274919994899
62,0.019,1800,2,1.0,0.0,0.9583333333333334,67426.89519743547,73.44977690352448,10.953502364446956,588.0184919994881
63,0.019,1800,3,1.0,0.0,0.9428571428571428,90744.68483380237,138.75334072446844,21.9793397394566,824.5587600004055
64,0.038,1800,0,1.0,0.0,0.0,78886.68220094156,626.0847793725521,70.62477655625679,958.6219399994206
65,0.038,1800,0,1.0,0.0,0.0,80823.46160945969,612.2989515868157,70.47922356006305,958.6290879994849
66,0.038,1800,0,1.0,0.0,0.0,82145.16304782413,595.2548046943778,70.34632734615795,958.682459999467
67,0.038,1800,0,1.0,0.0,0.0,86683.94933533456,656.6965858737467,70.47922356006305,958.3909719995117
68,0.038,1800,0,1.0,0.0,0.0,84420.30411688378,611.7413341803173,70.34632734615795,958.7184599994744
69,0.038,1800,0,1.0,0.0,0.0,63017.583898176774,500.1395547474347,70.62477655625679,958.3909719995117
70,0.038,1800,0,1.0,0.0,0.0,74117.8516656413,537.0858816350818,70.34632734615795,958.7184600016881
71,0.038,1800,0,0.9545454545454546,0.0,0.0,57080.749285532795,432.4299188297939,70.47922356006305,958.3909720020638
72,0.038,1800,0,0.9130434782608695,0.0,0.0,51842.97144796529,375.67370614467603,70.346327346147,958.7184600020482
73,0.038,1800,0,1.0,0.0,0.0,47061.72468510153,373.50575146905976,70.62477655625679,958.3909720020638
74,0.038,1800,0,1.0,0.0,0.0,87958.70434965832,698.0849551560184,70.62477655625679,958.7184600020482
