,MEASURE_INTERVAL_S,TX_AGGREGATION_TIMER_NOMINAL,hops,pdr,plr,aggregation_efficiency,energy,latency
0,1800,180,0,1.0,0.0,0.0,119500.45086440095,119500.45086440095
1,1800,180,0,1.0,0.0,0.0,120038.0971949408,120038.0971949408
2,1800,180,0,1.0,0.0,0.0,123500.17936352364,123500.17936352364
3,1800,180,0,1.0,0.0,0.7647058823529411,135802.7261973808,135802.7261973808
4,1800,180,0,1.0,0.0,0.0,130355.50112187766,130355.50112187766
5,1800,180,0,1.0,0.0,0.0,123804.51241047261,123804.51241047261
6,1800,180,0,0.9565217391304348,0.043478260869565216,0.0,111240.87856000893,111240.87856000893
7,1800,180,0,1.0,0.0,0.0,111227.04912627861,111227.04912627861
8,1800,180,0,1.0,0.0,0.92,96489.95911561754,96489.95911561754
9,1800,180,0,1.0,0.0,0.0,126881.78347310952,126881.78347310952
10,1800,180,0,1.0,0.0,0.5882352941176471,131255.41911391116,131255.41911391116
11,1800,180,0,0.9565217391304348,0.043478260869565216,0.9230769230769231,129033.0424702431,129033.0424702431
12,1800,180,0,1.0,0.0,0.9642857142857143,109913.5992848734,109913.5992848734
13,1800,180,0,0.9565217391304348,0.043478260869565216,0.0,125190.40211570094,125190.40211570094
14,1800,180,1,1.0,0.0,0.8076923076923077,96848.82717392637,96848.82717392637
15,1800,180,1,1.0,0.0,0.0,126088.30585992822,126088.30585992822
16,1800,180,1,0.9130434782608695,0.043478260869565216,0.9583333333333334,138125.7641226909,138125.7641226909
17,1800,180,1,0.9565217391304348,0.043478260869565216,0.0,121992.64970286457,121992.64970286457
18,1800,180,1,0.6956521739130435,0.21739130434782608,0.0,126674.35246427164,126674.35246427164
19,1800,180,1,0.9565217391304348,0.043478260869565216,0.9545454545454546,118484.64264094703,118484.64264094703
20,1800,180,1,0.7391304347826086,0.13043478260869565,0.9545454545454546,93207.09644837464,93207.09644837464
21,1800,180,1,1.0,0.0,0.0,83991.49011802486,83991.49011802486
22,1800,180,2,0.9565217391304348,0.043478260869565216,0.0,93176.44345398735,93176.44345398735
23,1800,180,2,1.0,0.0,0.0,87757.05998110346,87757.05998110346
24,1800,180,2,0.8695652173913043,0.13043478260869565,0.6764705882352942,91258.43190663084,91258.43190663084
25,1800,180,2,0.9565217391304348,0.043478260869565216,0.0,109419.22154169659,109419.22154169659
26,1800,180,2,0.9565217391304348,0.043478260869565216,0.0,109593.67853845116,109593.67853845116
27,1800,180,2,0.9565217391304348,0.043478260869565216,0.0,109263.4504764859,109263.4504764859
28,1800,180,2,0.9130434782608695,0.043478260869565216,0.0,102556.51665073562,102556.51665073562
29,1800,180,2,0.8695652173913043,0.13043478260869565,0.7931034482758621,117080.9045764296,117080.9045764296
30,1800,180,3,0.8695652173913043,0.13043478260869565,0.0,89230.64619536794,89230.64619536794
31,1800,180,3,0.8695652173913043,0.13043478260869565,0.0,91908.9076360193,91908.9076360193
32,1800,270,0,1.0,0.0,0.0,120949.3763099383,120949.3763099383
33,1800,270,0,1.0,0.0,0.0,119985.84612685324,119985.84612685324
34,1800,270,0,0.9565217391304348,0.0,0.0,125031.93573848465,125031.93573848465
35,1800,270,0,0.9565217391304348,0.043478260869565216,0.9333333333333333,136765.13222857445,136765.13222857445
36,1800,270,0,1.0,0.0,0.0,131487.54304902905,131487.54304902905
37,1800,270,0,1.0,0.0,0.0,125277.20568101679,125277.20568101679
38,1800,270,0,0.9565217391304348,0.043478260869565216,0.0,111896.35131591225,111896.35131591225
39,1800,270,0,1.0,0.0,0.0,111380.70226749305,111380.70226749305
40,1800,270,0,1.0,0.0,0.92,96702.6046530433,96702.6046530433
41,1800,270,0,0.9565217391304348,0.043478260869565216,0.0,128858.30035867757,128858.30035867757
42,1800,270,0,1.0,0.0,0.5476190476190477,136457.6225294622,136457.6225294622
43,1800,270,0,0.9565217391304348,0.043478260869565216,0.9230769230769231,133235.81014442016,133235.81014442016
44,1800,270,0,1.0,0.0,0.96,108613.98266047913,108613.98266047913
45,1800,270,0,1.0,0.0,0.0,128106.17887518163,128106.17887518163
46,1800,270,1,1.0,0.0,0.8076923076923077,97114.30461718854,97114.30461718854
47,1800,270,1,1.0,0.0,0.0,129094.18541242089,129094.18541242089
48,1800,270,1,0.9130434782608695,0.043478260869565216,0.9565217391304348,139831.9189826412,139831.9189826412
49,1800,270,1,0.9565217391304348,0.043478260869565216,0.0,124951.34786656665,124951.34786656665
50,1800,270,1,0.9130434782608695,0.043478260869565216,0.7666666666666666,131596.8620903673,131596.8620903673
51,1800,270,1,0.9565217391304348,0.0,0.8846153846153846,121805.21553615396,121805.21553615396
52,1800,270,1,0.9565217391304348,0.043478260869565216,0.8928571428571429,95814.88830046525,95814.88830046525
53,1800,270,1,1.0,0.0,0.0,85087.92675880571,85087.92675880571
54,1800,270,2,1.0,0.0,0.0,93841.10067719854,93841.10067719854
55,1800,270,2,1.0,0.0,0.0,88399.08511892868,88399.08511892868
56,1800,270,2,0.9130434782608695,0.08695652173913043,0.6764705882352942,92748.36102370737,92748.36102370737
57,1800,270,2,0.9130434782608695,0.043478260869565216,0.0,111029.2988958465,111029.2988958465
58,1800,270,2,0.9565217391304348,0.043478260869565216,0.0,111940.9902255301,111940.9902255301
59,1800,270,2,0.9565217391304348,0.043478260869565216,0.0,111386.0964425244,111386.0964425244
60,1800,270,2,0.9130434782608695,0.043478260869565216,0.0,103598.08214760968,103598.08214760968
61,1800,270,2,0.9565217391304348,0.043478260869565216,0.7586206896551724,120891.38965943152,120891.38965943152
