,LORA_SF,LORA_TRANSMIT_POWER,hops,pdr,plr,aggregation_efficiency,energy,energy_per_byte,energy_tx_per_byte,latency
0,7,2,0,1.0,0.0,0.0,43838.4485556194,730.6408092603233,74.14715906399445,936.8492800000972
1,7,2,0,1.0,0.0,0.0,44392.669978254664,739.8778329709111,74.14715906399445,906.3897000001098
2,7,2,0,1.0,0.0,0.0,49574.69112521243,826.2448520868737,74.14715906399445,876.4668719997862
3,7,2,0,1.0,0.0,0.0,50627.703666514135,843.7950611085689,74.14715906399445,846.2852839991483
4,7,2,0,1.0,0.0,0.0,49307.241665287984,821.787361088133,74.14715906399445,816.658827999212
5,7,2,0,1.0,0.0,0.0,47410.551913495576,790.1758652249263,74.14715906399445,786.9226039991645
6,7,2,0,1.0,0.0,0.0,40619.73829836308,676.9956383060513,74.14715906399445,756.3976439991984
7,7,2,0,1.0,0.0,0.0,44211.19637514627,736.8532729191045,74.14715906399445,726.2270560009383
8,7,2,0,1.0,0.0,0.9090909090909091,36767.2993922978,306.39416160248163,37.25070593199052,696.4652200009004
9,7,2,0,1.0,0.0,0.8461538461538461,36787.827851159826,130.4532902523398,18.980448117448756,666.8897640008945
10,7,2,0,1.0,0.0,0.0,52646.40469373773,797.6727983899656,73.53583647999444,949.8165360001676
11,7,2,0,1.0,0.0,0.8461538461538461,53426.57064417685,88.16265782867467,9.07274631999773,919.9163200001458
12,7,2,0,1.0,0.0,0.9090909090909091,50141.43452514184,208.92264385475767,18.87775808600301,889.5927399992361
13,7,2,0,1.0,0.0,0.0,47906.42313104077,798.4403855173462,74.14715906399445,859.83090399918
14,7,2,0,1.0,0.0,0.0,48128.53605130927,802.1422675218212,74.14715906399445,830.2044479992437
15,7,2,1,0.9090909090909091,0.0,0.8461538461538461,34470.220983139276,198.1047182939039,30.474348990349085,1736.2314800001604
16,7,2,1,0.9,0.0,0.0,32625.952719690984,543.7658786615164,74.14715906399445,1119.3512960001335
17,7,2,1,0.9090909090909091,0.0,0.7692307692307692,53045.094534487616,420.9928137657747,41.88962921523184,2395.739103998085
18,7,2,1,0.9090909090909091,0.0,0.0,52186.322967499844,790.701863143937,73.53583647999444,2635.5730039974405
19,7,2,1,0.9090909090909091,0.0,0.0,47610.37069652171,721.3692529776017,73.53583647999444,2875.843239996906
20,7,2,1,0.9090909090909091,0.0,0.0,50370.96254016691,763.1964021237411,73.53583647999444,3115.9129279966583
21,7,2,1,1.0,0.0,0.9,45436.69084624744,252.4260602569302,22.77531842667226,3293.3197320012678
22,7,2,1,1.0,0.0,0.9,46311.05119469957,192.9627133112482,17.201049139998883,3413.1225880051534
23,7,2,1,1.0,0.0,0.0,30492.406006354424,508.20676677257376,74.14715906399445,3775.8017040049563
24,7,2,2,1.0,0.0,0.0,30891.613215786256,514.8602202631042,74.14715906399445,1938.456548000183
25,7,2,2,0.8,0.2,0.0,31501.38173358584,525.0230288930974,74.14715906399445,2894.5393079999194
26,7,2,2,1.0,0.0,0.0,39519.37032429723,658.6561720716205,74.14715906399445,2597.3284919981143
27,7,2,2,1.0,0.0,0.0,40949.01710314094,682.4836183856823,74.14715906399445,2837.0432519972055
28,7,2,2,1.0,0.0,0.0,41673.88600182747,694.5647666971246,74.14715906399445,3077.313487996671
29,7,2,2,1.0,0.0,0.0,39518.957106114976,658.6492851019162,74.14715906399445,3317.3831759964232
30,7,2,2,1.0,0.0,0.0,31809.87479952649,530.1645799921082,74.14715906399445,3494.7899800010327
31,7,2,2,0.9090909090909091,0.0,0.0,37275.97443852844,564.7874914928552,73.53583647999444,3613.9780920054254
32,7,4,0,1.0,0.0,0.0,43591.29599575109,726.5215999291848,74.14715906399445,991.5302160001265
33,7,4,0,1.0,0.0,0.0,46466.72551098736,704.0412956210206,73.53583647999444,960.92887600011
34,7,4,0,1.0,0.0,0.0,48459.027194177215,807.6504532362869,74.14715906399445,931.1670399990071
35,7,4,0,1.0,0.0,0.0,55208.94316028475,836.4991387921931,73.53583647999444,901.0618319990499
36,7,4,0,1.0,0.0,0.0,53368.63463724977,808.6156763219662,73.53583647999444,871.0296239991076
37,7,4,0,1.0,0.0,0.0,47319.97572179037,788.6662620298395,74.14715906399445,840.9524159991561
38,7,4,0,1.0,0.0,0.0,46331.832267291175,772.1972044548529,74.14715906399445,811.2571919999973
39,7,4,0,1.0,0.0,0.0,47270.19629433064,787.8366049055107,74.14715906399445,781.4953560010035
40,7,4,0,0.18181818181818182,0.8181818181818182,0.0,41516.80785832657,629.0425433079782,73.53583647999444,750.9703960009647
41,7,4,0,1.0,0.0,0.9,39549.932245346725,212.6340443298211,22.057771999998675,720.8971880009376
42,7,4,0,1.0,0.0,0.9090909090909091,56329.560581365025,302.84709989981195,24.22126741420059,832.5074851333293
43,7,4,0,1.0,0.0,0.0,50230.04225066667,837.1673708444446,74.14715906399445,802.5893640001682
44,7,4,0,1.0,0.0,0.0,54448.63598879002,907.4772664798336,74.14715906399445,772.382016000156
45,7,4,0,1.0,0.0,0.0,54129.87063188828,902.1645105314714,74.14715906399445,742.1774279999672
46,7,4,0,1.0,0.0,0.8181818181818181,55165.80237569697,139.30758175681052,11.615508173332843,711.9368399992927
47,7,4,0,1.0,0.0,0.8333333333333334,51552.699886489325,296.2798844051111,28.173862609657615,682.518375999316
48,7,4,0,1.0,0.0,0.7692307692307692,54495.59050063384,432.504686512967,41.88962921523184,652.0164159993546
49,7,4,0,1.0,0.0,0.0,33334.11477350411,505.06234505309254,73.53583647999444,622.0885879994366
50,7,4,0,1.0,0.0,0.0,53590.98367093945,811.9846010748402,73.53583647999444,592.241372000819
51,7,4,1,1.0,0.0,0.0,36792.060659681076,613.2010109946846,74.14715906399445,1735.5150320003177
52,7,4,1,1.0,0.0,0.0,31426.44656335292,476.1582812629231,73.53583647999444,1765.803148000079
53,7,4,1,0.9090909090909091,0.0,0.0,34147.8999934674,517.3924241434454,73.53583647999444,1794.8039439981803
54,7,4,1,0.9,0.1,0.0,32991.15678060078,549.852613010013,74.14715906399445,1825.8176559981694
55,7,4,1,1.0,0.0,0.0,47836.506515774214,724.7955532693063,73.53583647999444,1855.4782599982045
56,7,4,1,0.9090909090909091,0.0,0.0,52306.7171969386,792.5260181354333,73.53583647999444,1885.687847998186
57,7,4,1,1.0,0.0,0.0,49199.50620631848,819.991770105308,74.14715906399445,1915.6846760010503
58,7,4,1,1.0,0.0,0.0,43336.062078818926,722.2677013136488,74.14715906399445,1945.896644002616
59,7,4,1,0.6,0.4,0.0,39108.31874457589,651.8053124095982,74.14715906399445,1975.0399680026203
60,7,4,1,1.0,0.0,0.0,41212.97956404632,686.8829927341053,74.14715906399445,2004.9310360026248
61,7,4,1,1.0,0.0,0.0,41431.81597587079,690.5302662645132,74.14715906399445,1983.9405240002775
62,7,4,1,0.9090909090909091,0.0,0.0,49198.87027126432,745.4374283524897,73.53583647999444,2073.3960560002397
63,7,4,1,1.0,0.0,0.0,37410.724040049885,623.5120673341647,74.14715906399445,2163.8335039992608
64,7,6,0,1.0,0.0,0.0,48144.23927053345,802.4039878422242,74.14715906399445,962.3178920001546
65,7,6,0,1.0,0.0,0.0,47190.34295830192,786.5057159716986,74.14715906399445,932.9354280001526
66,7,6,0,1.0,0.0,0.0,51558.715177780155,859.3119196296692,74.14715906399445,902.4104679990978
67,7,6,0,1.0,0.0,0.0,51881.19066326382,864.686511054397,74.14715906399445,872.6586319991329
68,7,6,0,1.0,0.0,0.0,51760.06429698595,862.6677382830991,74.14715906399445,842.9197959991707
69,7,6,0,1.0,0.0,0.0,54372.19923872138,906.2033206453564,74.14715906399445,812.2904559991803
70,7,6,0,1.0,0.0,0.0,46012.24904409873,697.1552885469505,73.53583647999444,782.9663719992259
71,7,6,0,1.0,0.0,0.0,46302.589243524344,771.7098207254057,74.14715906399445,752.8661640010178
72,7,6,0,1.0,0.0,0.0,47523.70074480398,720.0560718909694,73.53583647999444,722.9089480009461
73,7,6,0,1.0,0.0,0.0,40063.88501701343,667.7314169502239,74.14715906399445,692.5169880009344
74,7,6,0,1.0,0.0,0.0,54886.12564170651,914.7687606951084,74.14715906399445,895.5727320001497
75,7,6,0,1.0,0.0,0.0,52788.457883316536,879.8076313886089,74.14715906399445,866.0115080001187
76,7,6,0,1.0,0.0,0.0,56416.6387968734,940.2773132812233,74.14715906399445,835.6539279994995
77,7,6,0,1.0,0.0,0.0,56131.61708625627,850.4790467614587,73.53583647999444,805.8157119991884
78,7,6,0,0.9,0.1,0.9090909090909091,53515.61371555623,445.96344762963525,37.25070593199052,775.6885039992267
79,7,6,0,1.0,0.0,0.8888888888888888,53223.245425869056,221.76352260778773,15.524340193999475,745.4115359992284
80,7,6,0,1.0,0.0,0.9,52686.13282211442,225.15441376971975,17.628476574359958,715.6850799992717
81,7,6,0,1.0,0.0,0.0,60112.08582799835,1001.8680971333058,74.14715906399445,685.4944920009002
82,7,6,0,1.0,0.0,0.7272727272727273,59927.65909290773,195.842023179437,14.892911439999073,655.7326560008623
83,7,6,0,1.0,0.0,0.0,35774.330393485914,542.0353089922108,73.53583647999444,625.6290680008351
84,7,6,0,1.0,0.0,0.0,53881.55577233716,898.0259295389527,74.14715906399445,853.5345320001388
85,7,6,1,0.9090909090909091,0.0,0.0,36365.763403549674,550.996415205298,73.53583647999444,1915.0323120003604
86,7,6,1,1.0,0.0,0.0,33590.12386321426,559.8353977202377,74.14715906399445,2125.02841200041
87,7,6,1,1.0,0.0,0.0,32567.371971380682,542.7895328563447,74.14715906399445,2334.9005119981994
88,7,6,1,1.0,0.0,0.0,37366.70758984126,622.7784598306877,74.14715906399445,2665.99394799732
89,7,6,1,1.0,0.0,0.0,49934.14350909462,832.235725151577,74.14715906399445,864.9066319991107
90,7,6,1,1.0,0.0,0.0,49408.66379136923,823.4777298561538,74.14715906399445,1765.4814799982232
91,7,6,1,1.0,0.0,0.0,44789.933963163494,746.4988993860583,74.14715906399445,3190.7200360009974
92,7,6,1,0.9,0.1,0.0,44436.85963049563,740.6143271749272,74.14715906399445,1390.3194640018737
93,7,6,1,0.9,0.0,0.0,42253.62962335075,704.2271603891792,74.14715906399445,2389.231540003122
94,7,6,1,1.0,0.0,0.0,43002.731426092716,716.7121904348786,74.14715906399445,588.922736000779
95,7,6,1,1.0,0.0,0.0,39383.62370652393,656.3937284420656,74.14715906399445,2081.393344000375
96,7,8,0,1.0,0.0,0.0,55150.188150438065,919.1698025073011,74.14715906399445,915.8617080001686
97,7,8,0,1.0,0.0,0.0,55819.97002313807,930.3328337189679,74.14715906399445,885.5857400001414
98,7,8,0,1.0,0.0,0.0,58928.83515355197,982.1472525591995,74.14715906399445,855.9092839991627
99,7,8,0,1.0,0.0,0.0,60640.434038852785,1010.6739006475465,74.14715906399445,825.307943999178
100,7,8,0,1.0,0.0,0.0,60387.282614956675,914.9588274993436,73.53583647999444,795.8894799992013
101,7,8,0,1.0,0.0,0.0,57211.04765026279,953.5174608377132,74.14715906399445,765.5248999992673
102,7,8,0,1.0,0.0,0.0,51425.59186221106,857.0931977035177,74.14715906399445,735.6026839992683
103,7,8,0,1.0,0.0,0.0,52420.52794986981,794.2504234828758,73.53583647999444,705.7414680009279
104,7,8,0,1.0,0.0,0.0,54674.28126446356,911.2380210743927,74.14715906399445,676.0026320008947
105,7,8,0,1.0,0.0,0.0,50150.43002862498,835.840500477083,74.14715906399445,645.8530440008581
106,7,8,0,1.0,0.0,0.0,35703.08132405058,595.051355400843,74.14715906399445,872.7070120001581
107,7,8,0,1.0,0.0,0.0,39116.975380486336,651.9495896747723,74.14715906399445,842.5254240001486
108,7,8,0,1.0,0.0,0.0,58741.36027055177,890.0206101598753,73.53583647999444,812.8759679993973
109,7,8,0,1.0,0.0,0.8333333333333334,59440.572644946034,495.3381053745503,40.61298014399372,783.0377519992435
110,7,8,0,1.0,0.0,0.9166666666666666,59593.411717209514,472.9635850572184,38.69589788951719,752.9325439992863
111,7,8,0,1.0,0.0,0.0,57551.136818493556,959.1856136415593,74.14715906399445,722.5779639993543
112,7,8,0,1.0,0.0,0.0,53952.3966682082,899.2066111368034,74.14715906399445,692.9901199993437
113,7,8,0,1.0,0.0,0.0,57264.32035413565,954.4053392355942,74.14715906399445,662.7855320008966
114,7,8,0,1.0,0.0,0.8181818181818181,53962.88390208682,290.1230317316496,24.21555365935601,632.6169440008562
115,7,8,0,1.0,0.0,0.9,55598.09459231407,220.6273594933098,16.39460344762275,602.7337280007996
116,7,8,0,1.0,0.0,0.0,65966.45969286053,1099.440994881009,74.14715906399445,929.2545680001767
117,7,8,0,1.0,0.0,0.9090909090909091,61783.577064377925,343.2420948020996,25.010930354665177,899.7417240001496
118,7,8,0,1.0,0.0,0.0,43685.26169876857,728.0876949794762,74.14715906399445,869.6455159991474
119,7,8,1,1.0,0.0,0.0,35945.191960566575,599.0865326761096,74.14715906399445,1874.8807320003461
120,7,8,1,1.0,0.0,0.0,33463.03917282356,557.7173195470593,74.14715906399445,1394.1074640002316
121,7,8,1,1.0,0.0,0.0,60306.38897808176,913.7331663345722,73.53583647999444,1484.6322279985343
122,7,8,1,1.0,0.0,0.0,50504.29170549901,841.7381950916501,74.14715906399445,1573.9627359984443
123,7,8,1,1.0,0.0,0.0,49656.72596522841,827.6120994204736,74.14715906399445,1664.850871998362
124,7,8,1,1.0,0.0,0.0,49650.69543439231,752.2832641574593,73.53583647999587,1754.2837599982922
125,7,8,1,1.0,0.0,0.0,51011.06418877228,850.1844031462047,74.14715906399445,1844.3033920002144
126,7,8,1,1.0,0.0,0.0,43675.913305662994,727.9318884277166,74.14715906399445,1994.3388280026775
127,7,8,1,1.0,0.0,0.0,57456.6021206516,957.6100353441933,74.14715906399445,2714.464660003665
128,7,10,0,1.0,0.0,0.0,56922.83870826999,948.7139784711666,74.14715906399445,878.836603875669
129,7,10,0,1.0,0.0,0.0,54738.830670049545,912.3138445008258,74.14715906399445,848.9857880001409
130,7,10,0,0.8888888888888888,0.0,0.0,59023.74421682227,1093.0323003115236,74.89433111110557,819.1939519997222
131,7,10,0,1.0,0.0,0.0,61129.915209169994,1018.8319201528333,74.14715906399445,788.5836119991964
132,7,10,0,0.8,0.2,0.0,61272.33244429323,1021.2055407382205,74.14715906399445,758.9835359992685
133,7,10,0,1.0,0.0,0.0,59299.80429501476,1098.1445239817547,74.89433111110557,729.2216999993016
134,7,10,0,1.0,0.0,0.8333333333333334,57085.08608896714,475.70905074139284,40.61298014399372,699.1164919993444
135,7,10,0,0.8,0.2,0.0,53972.036597413164,899.5339432902194,74.14715906399445,668.9349040009074
136,7,10,0,1.0,0.0,0.0,55550.853440813764,841.6795975880873,73.53583647999444,639.1730680008695
137,7,10,0,1.0,0.0,0.0,49763.882745809926,829.3980457634988,74.14715906399445,608.6481080008307
138,7,10,0,1.0,0.0,0.0,35512.9791174767,538.0754411738894,73.53583647999444,813.0889600001365
139,7,10,0,1.0,0.0,0.0,40896.07853450461,681.6013089084101,74.14715906399445,782.8609920001145
140,7,10,0,1.0,0.0,0.0,57350.12838482322,1062.0394145337634,74.89433111110557,752.4677920000177
141,7,10,0,1.0,0.0,0.0,61689.57173904363,934.6904808946005,73.53583647999444,722.4588159992418
142,7,10,0,1.0,0.0,0.8181818181818181,60831.68283402918,533.6112529300806,39.19262451788546,693.1167319992837
143,7,10,0,1.0,0.0,0.0,62767.14470378428,951.0173439967315,73.53583647999444,662.9351439993079
144,7,10,0,1.0,0.0,0.0,55871.21032276604,846.5334897388794,73.53583647999444,633.1643079993391
145,7,10,0,1.0,0.0,0.0,59771.12418276179,996.1854030460298,74.14715906399445,602.9827200007749
146,7,10,0,1.0,0.0,0.0,57351.351268173275,868.9598676995951,73.53583647999444,572.4667600007451
147,7,10,0,1.0,0.0,0.0,53728.44385197506,895.4740641995844,74.14715906399445,542.7049240007073
148,7,10,0,1.0,0.0,0.0,54174.81984825114,820.830603761381,73.53583647999444,836.6585719994619
149,7,10,0,1.0,0.0,0.0,52966.72652311556,882.7787753852593,74.14715906399445,807.231107999256
150,7,10,0,1.0,0.0,0.75,54293.04815185066,476.25480834956716,42.731860530520414,777.3838919992686
151,7,10,0,1.0,0.0,0.0,62609.983219706766,1043.499720328446,74.14715906399445,746.8589319993025
152,7,10,0,1.0,0.0,0.0,64515.54917706839,977.5083208646726,73.53583647999444,717.0117159993151
153,7,10,0,1.0,0.0,0.0,64392.66589244056,1073.2110982073425,74.14715906399445,686.8301280009255
154,7,10,0,1.0,0.0,0.0,50475.70101462393,841.2616835770656,74.14715906399445,656.6485400008823
155,7,10,1,1.0,0.0,0.0,53939.0265851384,817.2579785627031,73.53583647999444,896.2694760001423
156,7,10,1,1.0,0.0,0.0,61761.510389734045,935.7804604505159,73.53583647999444,1834.0062600002593
157,7,10,1,1.0,0.0,0.8333333333333334,61163.583176188215,509.6965264682351,40.61298014399372,1864.1469959997085
158,7,10,1,0.9,0.0,0.0,50145.74324647075,835.7623874411792,74.14715906399445,1894.2432039981268
159,7,10,1,1.0,0.0,0.0,58770.689879903686,979.5114979983948,74.14715906399445,1924.4247919981026
160,7,12,0,0.8888888888888888,0.1111111111111111,0.0,59590.779214444556,1103.53294841564,74.89433111110557,947.4553120002274
161,7,12,0,1.0,0.0,0.0,61737.8993818798,1028.9649896979965,74.14715906399445,887.5118879992042
162,7,12,0,0.9,0.1,0.8181818181818181,63386.80053390693,377.30238413039837,26.76579566571726,857.7500519992373
163,7,12,0,1.0,0.0,0.0,64198.467071572784,972.7040465389816,73.53583647999444,827.5684639992614
164,7,12,0,1.0,0.0,0.8181818181818181,62315.07791337937,546.6234904682401,39.19262451788546,797.2924959992633
165,7,12,0,1.0,0.0,0.0,61452.06399405486,1024.201066567581,74.14715906399445,767.8740320010475
