,TX_AGGREGATION_TIMER_RANDOM,MEASURE_INTERVAL_S,children,pdr,plr,aggregation_efficiency,energy,energy_per_byte,energy_tx_per_byte,latency
0,1,1800,0,1.0,0.0,0.0,79339.60553286402,629.6794089909843,70.62477655625679,901.7442457512361
1,1,1800,0,1.0,0.0,0.0,79591.85274459836,631.6813709888759,70.62477655625679,902.0562964774044
2,1,1800,0,1.0,0.0,0.0,83230.53527385445,630.534358135261,70.47922356006305,902.0122030224338
3,1,1800,0,1.0,0.0,0.0,86078.27398426156,623.7556085816054,70.346327346147,902.2238434768824
4,1,1800,0,1.0,0.0,0.0,83711.8004743925,634.1803066241856,70.47922356006305,902.5895948769321
5,1,1800,0,1.0,0.0,0.0,64332.65313729908,466.1786459224571,70.346327346147,902.5420854184649
6,1,1800,0,1.0,0.0,0.0,73049.61167656831,529.3450121490457,70.346327346147,902.4253013862835
7,1,1800,0,0.9565217391304348,0.0,0.0,46603.30020697961,337.7050739636204,70.34632734615795,902.7315620945155
8,1,1800,0,0.9545454545454546,0.0,0.0,46260.29161407892,350.456754652113,70.47922356006305,902.6238465472961
9,1,1800,0,1.0,0.0,0.0,48280.43121971718,383.178025553311,70.62477655625679,902.6003131176949
10,1,1800,0,1.0,0.0,0.0,88410.18053297649,701.6680994680673,70.62477655625679,902.713253934362
11,1,1800,0,0.9545454545454546,0.0,0.0,91907.20395863675,696.266696656339,70.47922356006305,901.990554421347
12,1,1800,0,0.9545454545454546,0.0,0.0,72675.97306562234,550.575553527442,70.47922356006305,901.9621537031671
13,1,1800,0,0.9565217391304348,0.0,0.0,72218.43394113476,523.3219850806867,70.34632734615795,902.1856861393608
14,1,1800,0,0.9545454545454546,0.0,0.0,71894.78423690988,544.6574563402264,70.47922356006305,902.5753104485193
15,1,1800,0,0.9545454545454546,0.0,0.0,69611.92111776282,527.3630387709304,70.47922356006305,902.0932376198871
16,1,1800,0,0.9545454545454546,0.0,0.0,69666.6885612302,527.7779436456833,70.47922356006305,902.5520726055183
17,1,1800,0,0.9130434782608695,0.043478260869565216,0.0,57205.223411554885,414.53060443155715,70.346327346147,902.0346074326808
18,1,1800,0,0.9545454545454546,0.0,0.0,50100.72341970468,379.55093499776274,70.47922356006305,902.4385984126493
19,1,1800,0,0.9565217391304348,0.0,0.0,49658.15611204912,359.84171095687765,70.34632734615795,902.4284578429942
20,1,1800,0,1.0,0.0,0.0,45120.673161630584,358.10058064786176,70.62477655625679,902.5744062831654
21,1,1800,0,1.0,0.0,0.0,86967.68576617309,690.219728302961,70.62477655625679,901.7275114172262
22,1,1800,1,1.0,0.0,0.9545454545454546,55892.91024426502,221.79726287406754,35.48951467810371,902.8099913349624
23,1,1800,1,1.0,0.0,0.9130434782608696,84545.61915419782,327.6961982720846,36.23214481675233,902.2250092946115
24,1,1800,1,0.9545454545454546,0.0,0.9166666666666666,90073.52451940514,174.56109402985493,19.15956702512436,902.2294093638502
25,1,1800,2,1.0,0.0,0.9428571428571428,95188.14358190837,74.48211547880155,11.473001342727095,903.5504217994026
26,1,1800,2,0.9130434782608695,0.0,0.88,58440.583405129444,89.35869022191046,15.808404245880023,902.9645408848664
27,1,1800,2,0.9565217391304348,0.0,0.875,53731.17181681062,137.77223542771955,25.17790463016087,902.0663197819995
28,1,1800,2,0.9565217391304348,0.0,0.875,76857.18138991854,197.069695871586,25.17790463016087,261.99057165060185
29,1,1800,2,1.0,0.0,0.9565217391304348,65803.82309020907,73.11535898912119,10.716003284802028,902.159443610477
30,1,1800,3,1.0,0.0,0.9130434782608696,87882.39236734292,172.31841640655475,18.591766512007506,901.4265952734422
31,1,1800,4,0.9545454545454546,0.0,0.9428571428571428,92533.32661993058,144.13290750768005,22.38189158505423,1170.9835191024831
32,4,1800,0,1.0,0.0,0.0,80653.14615517281,611.0086829937335,70.47922356006305,903.301535348415
33,4,1800,0,1.0,0.0,0.0,81551.0890265784,617.8112805043818,70.47922356006305,903.252399194228
34,4,1800,0,1.0,0.0,0.0,83817.6913396162,607.374574924755,70.346327346147,903.1773519490989
35,4,1800,0,1.0,0.0,0.0,88651.62939220495,671.6032529712496,70.47922356006305,903.559568662029
36,4,1800,0,1.0,0.0,0.0,83510.51796947057,662.7818886465918,70.62477655625679,903.4752557658485
37,4,1800,0,1.0,0.0,0.0,62718.71843764602,497.7676066479843,70.62477655625679,903.8499150691805
38,4,1800,0,1.0,0.0,0.0,72852.8018212742,551.9151653126834,70.47922356006305,903.5027455916788
39,4,1800,0,0.9545454545454546,0.0,0.0,52834.829616689334,400.26386073249495,70.47922356006305,903.3446173820685
40,4,1800,0,0.9565217391304348,0.0,0.0,46382.578319373904,336.1056399954631,70.34632734615795,903.6995399407933
41,4,1800,0,1.0,0.0,0.0,44579.048563696975,353.80197272775376,70.62477655625679,903.6109707460455
42,4,1800,0,0.9545454545454546,0.0,0.0,90077.34047748215,682.4040945263799,70.47922356006305,903.2826637582111
43,4,1800,0,0.9565217391304348,0.0,0.0,92424.44429478917,669.7423499622404,70.34632734615795,903.4090343040589
44,4,1800,0,0.9545454545454546,0.0,0.0,74258.3610602886,562.5633413658228,70.47922356006305,903.3032599415965
45,4,1800,0,1.0,0.0,0.0,71441.59821005241,566.9968111908921,70.62477655625679,903.6374965930845
46,4,1800,0,0.9565217391304348,0.0,0.0,72118.70916069801,522.5993417441885,70.34632734615795,903.3289100500224
47,4,1800,0,1.0,0.0,0.0,67541.16925536745,536.0410258362496,70.62477655625679,903.2375207302139
48,4,1800,0,1.0,0.0,0.0,67892.75500352675,538.831388916879,70.62477655625679,903.6149420114998
49,4,1800,0,1.0,0.0,0.0,55356.53916059079,439.3376123856412,70.62477655625679,903.5027837974994
50,4,1800,0,0.9545454545454546,0.0,0.0,49842.00010796965,377.590909908861,70.47922356006305,903.6069935947453
51,4,1800,0,0.9545454545454546,0.0,0.0,47208.322140957396,357.6388040981621,70.47922356006305,903.5864832174702
52,4,1800,0,1.0,0.0,0.0,89266.89954615019,708.4674567154777,70.62477655625679,903.5563206927982
53,4,1800,1,1.0,0.0,0.875,57151.59321938108,216.48330764917077,36.94101904000782,903.7197192577487
54,4,1800,1,1.0,0.0,0.9545454545454546,48204.28273632977,191.28683625527685,35.48951467810371,903.5550854484281
55,4,1800,1,1.0,0.0,0.9545454545454546,85716.07392261703,340.1431504865755,35.48951467810371,641.5736259373443
56,4,1800,1,1.0,0.0,0.9130434782608696,49265.71844141325,130.33258846934723,24.901379960644473,639.6524341617842
57,4,1800,2,1.0,0.0,0.9705882352941176,95177.57059390296,74.47384240524488,11.149810629865296,903.828395603351
58,4,1800,2,0.9545454545454546,0.0,0.9166666666666666,58394.218301055254,149.72876487450065,25.17790463016281,36.66551742662159
59,4,1800,2,0.9565217391304348,0.0,0.9166666666666666,89752.72584774933,138.5072929749218,15.328854868155348,187.2291688567384
60,4,1800,2,0.9565217391304348,0.0,0.875,76101.43090812443,195.13187412339596,25.17790463016087,34.8033105267732
61,4,1800,2,1.0,0.0,0.9583333333333334,65847.52333093075,74.15261636366075,11.307994720002545,187.66082077296414
62,4,1800,3,1.0,0.0,0.9411764705882353,93251.51215020385,180.71998478721676,26.937617192571565,899.7620871392537
63,4,1800,3,1.0,0.0,0.9696969696969697,91608.4977688355,179.62450542908923,26.461323152014387,902.1678197175879
64,7,1800,0,1.0,0.0,0.0,79054.28699850352,598.8961136250267,70.47922356006305,904.6598731981885
65,7,1800,0,1.0,0.0,0.0,79277.1015720271,600.5841028183871,70.47922356006305,904.7526164915698
66,7,1800,0,1.0,0.0,0.0,82501.61099559782,597.8377608376653,70.34632734615795,904.5070504707528
67,7,1800,0,1.0,0.0,0.0,89540.68050023356,678.3384886381331,70.47922356006305,904.6387449712602
68,7,1800,0,1.0,0.0,0.0,84678.85694009646,613.6149053630179,70.34632734615795,904.1860029093205
69,7,1800,0,1.0,0.0,0.0,63032.569162369604,500.25848541563175,70.62477655625679,904.8029929093027
70,7,1800,0,1.0,0.0,0.0,75288.63575177047,545.5698242881919,70.34632734615795,904.1512445949047
71,7,1800,0,0.9090909090909091,0.0,0.0,55104.162756086684,417.45577845520216,70.47922356006305,904.6888539444044
72,7,1800,0,0.8695652173913043,0.0,0.0,49159.29676888918,356.2267881803564,70.346327346147,904.2367740435438
73,7,1800,0,0.9523809523809523,0.0,0.0,44352.453295295556,352.0035975817108,70.62477655625679,905.0527573325235
74,7,1800,0,1.0,0.0,0.0,86274.4532002006,684.7178825412747,70.62477655625679,904.3656945940857
75,7,1800,0,1.0,0.0,0.0,91431.87331200579,725.6497881905221,70.62477655625679,904.3338584199082
76,7,1800,0,0.9545454545454546,0.0,0.0,72377.71699313045,548.3160378267459,70.47922356006305,904.4040168009888
77,7,1800,0,1.0,0.0,0.0,70979.49226263324,563.3293036716924,70.62477655625679,904.1374421292712
78,7,1800,0,0.9565217391304348,0.0,0.0,72673.56350427191,526.6200253932747,70.34632734615795,904.174074795952
79,7,1800,0,0.9545454545454546,0.0,0.0,69203.43751815034,524.2684660465935,70.47922356006305,904.288644497341
80,7,1800,0,0.9090909090909091,0.0,0.0,69478.45169852671,526.3519068070206,70.47922356006305,904.8852851337651
81,7,1800,0,0.9130434782608695,0.0,0.0,56819.92240333036,411.7385681400751,70.34632734615795,904.875818881701
82,7,1800,0,0.9090909090909091,0.0,0.0,50229.86754266472,380.5292995656418,70.47922356006305,904.3884062133802
83,7,1800,0,0.9545454545454546,0.0,0.0,48665.625682860424,368.6789824459123,70.47922356006305,904.5370603581832
84,7,1800,0,0.9545454545454546,0.0,0.0,88852.62827861041,673.1259718076547,70.47922356006305,904.8597406969639
85,7,1800,1,1.0,0.0,0.84,62324.43589181857,236.07740868113095,38.46932550000928,902.4638905481677
86,7,1800,1,0.9130434782608695,0.0,0.875,49565.646364117856,187.7486604701434,36.94101904001069,902.0023387981391
87,7,1800,1,1.0,0.0,0.9130434782608696,85396.20875858015,330.993057203799,36.23214481675233,902.3443080994884
88,7,1800,1,0.9523809523809523,0.0,0.9565217391304348,51076.31776221217,133.01124417242752,24.517831098759686,565.9590119455079
89,7,1800,2,1.0,0.0,0.9705882352941176,96803.01927397668,77.56652185414798,11.414428646927982,908.6018318285805
90,7,1800,2,0.9130434782608695,0.0,0.8888888888888888,65209.26455053895,167.20324243727936,37.53523011447528,326.0382409609447
