,LORA_SF,LORA_TRANSMIT_POWER,hops,pdr,plr,aggregation_efficiency,energy,energy_per_byte,energy_tx_per_byte,latency
0,7,2,0,1.0,0.0,0.0,44659.81690342584,676.663892476149,73.53583647999444,904.7216920000801
1,7,2,0,1.0,0.0,0.0,44237.860146829866,737.2976691138311,74.14715906399445,874.4489697298004
2,7,2,0,0.9,0.1,0.0,48722.01923961136,812.0336539935228,74.14715906399445,844.4348960000752
3,7,2,0,1.0,0.0,0.75,50572.02408801559,227.80191030637653,22.18753503999963,814.7294399996945
4,7,2,0,1.0,0.0,0.0,48833.140158675655,739.8960630102372,73.53583647999444,784.8912239991369
5,7,2,0,1.0,0.0,0.0,47869.438439544145,725.2945218112749,73.53583647999444,754.2806519992391
6,7,2,0,1.0,0.0,0.0,41076.481850246535,760.6755898193803,74.89433111110557,724.9385679992811
7,7,2,0,1.0,0.0,0.0,44262.31466015351,737.7052443358918,74.14715906399445,694.7109799992959
8,7,2,0,1.0,0.0,0.8181818181818181,36174.503068085156,334.94910248226995,41.360152191105186,664.4300120008666
9,7,2,0,1.0,0.0,0.8333333333333334,35459.45672030422,168.85455581097247,23.440211922280504,634.2674240008273
10,7,2,0,1.0,0.0,0.0,51958.33179435969,787.2474514296923,73.53583647999444,604.793960000774
11,7,2,0,0.9,0.1,0.8333333333333334,52281.09914933731,202.63991918347793,19.14514976000058,862.8826320001044
12,7,2,0,1.0,0.0,0.75,50769.97452682523,235.04617836493162,22.79893527999981,832.3666720001038
13,7,2,0,1.0,0.0,0.5454545454545454,47892.79787209163,285.0761778100692,26.78477349428123,802.3604639991863
14,7,2,0,1.0,0.0,0.0,48890.4680218602,814.84113369767,74.14715906399445,772.9059999992023
15,7,2,1,0.9,0.0,0.75,33564.0629345704,294.42160468921406,42.731860530520414,1458.3489640001217
16,7,2,1,0.8888888888888888,0.0,0.0,31191.784347451892,577.6256360639239,74.89433111110557,720.4317319993661
17,7,2,1,0.8888888888888888,0.0,0.8181818181818181,51760.32600886908,319.5081852399326,27.75056119407857,810.670595999256
18,7,2,1,0.8181818181818182,0.0,0.0,53251.85449620079,806.8462802454665,73.53583647999444,900.9609879992004
19,7,2,1,0.9,0.0,0.0,48098.13709909615,801.6356183182692,74.14715906399445,990.4552559991498
20,7,2,1,0.8888888888888888,0.0,0.0,50569.89219430277,936.4794850796809,74.89433111110557,1081.060483999805
21,7,2,1,0.7,0.1,0.6666666666666667,46911.282472981904,434.3637266016843,45.08617207110563,1170.6831320016354
22,7,2,1,0.8,0.1,0.7272727272727273,45550.53437061826,421.7642071353543,41.35031183554651,1260.2186320017026
23,7,2,1,0.6,0.2,0.7272727272727273,37200.9084849918,221.43397907733214,26.76579566572063,1350.7446280017757
24,7,2,1,0.9,0.0,0.0,29866.737505342622,497.77895842237706,74.14715906399445,1808.7569359991303
25,7,2,2,0.9,0.0,0.0,31678.065005380897,527.9677500896817,74.14715906399445,2042.9418319991419
26,7,2,2,0.5454545454545454,0.2727272727272727,0.0,32356.25060646317,490.24622131004804,73.53583647999444,2133.2608679978057
27,7,2,2,0.7777777777777778,0.1111111111111111,0.0,38886.566072483794,720.121593934885,74.89433111110557,2223.196887997761
28,7,2,2,0.8181818181818182,0.0,0.0,42462.7494633455,643.3749918688712,73.53583647999444,2312.6911559977107
29,7,2,2,0.9,0.0,0.0,41001.192743428655,683.3532123904776,74.14715906399445,2403.296383998366
30,7,2,2,0.5454545454545454,0.2727272727272727,0.0,40887.08759944872,619.5013272643746,73.53583647999444,2492.919032002803
